Emission,Sector,Year,Value,,Unit,Source,Updated at,Updated by
CO2,Power,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2018,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2020,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2025,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
