Region,Fuel,Year,ModalType,Value,,Unit,Source,Updated at,Updated by
AT,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,EU_Transport - Satistical Pocketbook,06.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
