Region,Region,Fuel,Value,,Unit,Source,Updated at,Updated by
AL,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IE,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IT,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LU,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ME,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
MK,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NL,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NO,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PT,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RS,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SE,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SI,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SK,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
EE,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LT,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LV,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UA,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RU,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BY,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,AL,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IE,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IT,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LU,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ME,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
MK,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NL,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NO,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PT,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RS,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SE,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SI,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SK,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
EE,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LT,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LV,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UA,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RU,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BY,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,AT,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
