Region,Technology,Value
DE,A_Rooftop_Commercial,1
World,A_Rooftop_Commercial,1
DE,A_Rooftop_Residential,1
World,A_Rooftop_Residential,1
DE,D_Battery_Li-Ion,31.536
World,D_Battery_Li-Ion,31.536
DE,D_Battery_Redox,31.536
World,D_Battery_Redox,31.536
DE,D_Gas_H2,31.536
World,D_Gas_H2,31.536
DE,D_Gas_Methane,31.536
World,D_Gas_Methane,31.536
DE,D_Heat_HLR,31.536
World,D_Heat_HLR,31.536
DE,D_Heat_HLI,31.536
World,D_Heat_HLI,31.536
DE,D_PHS,31.536
World,D_PHS,31.536
DE,D_PHS_Residual,31.536
World,D_PHS_Residual,31.536
DE,FRT_Rail_Conv,1
World,FRT_Rail_Conv,1
DE,FRT_Rail_Electric,1
World,FRT_Rail_Electric,1
DE,FRT_Road_BEV,1
World,FRT_Road_BEV,1
DE,FRT_Road_H2,1
World,FRT_Road_H2,1
DE,FRT_Road_ICE,1
World,FRT_Road_ICE,1
DE,FRT_Road_PHEV,1
World,FRT_Road_PHEV,1
DE,FRT_Road_OH,1
World,FRT_Road_OH,1
DE,FRT_Ship_Bio,1
World,FRT_Ship_Bio,1
DE,FRT_Ship_Conv,1
World,FRT_Ship_Conv,1
DE,P_Biomass,31.536
World,P_Biomass,31.536
DE,P_Coal_Hardcoal,31.536
World,P_Coal_Hardcoal,31.536
DE,P_Coal_Lignite,31.536
World,P_Coal_Lignite,31.536
DE,P_Gas,31.536
World,P_Gas,31.536
DE,P_Nuclear,31.536
World,P_Nuclear,31.536
DE,P_Oil,31.536
World,P_Oil,31.536
DE,PSNG_Air_Bio,1
World,PSNG_Air_Bio,1
DE,PSNG_Air_Conv,1
World,PSNG_Air_Conv,1
DE,PSNG_Air_H2,1
World,PSNG_Air_H2,1
DE,PSNG_Rail_Conv,1
World,PSNG_Rail_Conv,1
DE,PSNG_Rail_Electric,1
World,PSNG_Rail_Electric,1
DE,PSNG_Road_BEV,1
World,PSNG_Road_BEV,1
DE,PSNG_Road_H2,1
World,PSNG_Road_H2,1
DE,PSNG_Road_ICE,1
World,PSNG_Road_ICE,1
DE,PSNG_Road_PHEV,1
World,PSNG_Road_PHEV,1
DE,R_Coal_Hardcoal,31.536
World,R_Coal_Hardcoal,31.536
DE,R_Coal_Lignite,31.536
World,R_Coal_Lignite,31.536
DE,R_Gas,31.536
World,R_Gas,31.536
DE,R_Nuclear,31.536
World,R_Nuclear,31.536
DE,R_Oil,31.536
World,R_Oil,31.536
DE,RES_Biomass,0
World,RES_Biomass,0
DE,RES_CSP,31.536
World,RES_CSP,31.536
DE,RES_Geothermal,31.536
World,RES_Geothermal,31.536
DE,RES_Hydro_Large,31.536
World,RES_Hydro_Large,31.536
DE,RES_Hydro_Small,31.536
World,RES_Hydro_Small,31.536
DE,RES_Ocean,31.536
World,RES_Ocean,31.536
DE,RES_PV_Rooftop_Commercial,31.536
World,RES_PV_Rooftop_Commercial,31.536
DE,RES_PV_Rooftop_Residential,31.536
World,RES_PV_Rooftop_Residential,31.536
DE,RES_PV_Utility_Avg,31.536
World,RES_PV_Utility_Avg,31.536
DE,RES_PV_Utility_Inf,31.536
World,RES_PV_Utility_Inf,31.536
DE,RES_PV_Utility_Opt,31.536
World,RES_PV_Utility_Opt,31.536
DE,RES_Wind_Offshore_Transitional,31.536
World,RES_Wind_Offshore_Transitional,31.536
DE,RES_Wind_Offshore_Shallow,31.536
World,RES_Wind_Offshore_Shallow,31.536
DE,RES_Wind_Offshore_Deep,31.536
World,RES_Wind_Offshore_Deep,31.536
DE,RES_Wind_Onshore_Avg,31.536
World,RES_Wind_Onshore_Avg,31.536
DE,RES_Wind_Onshore_Inf,31.536
World,RES_Wind_Onshore_Inf,31.536
DE,RES_Wind_Onshore_Opt,31.536
World,RES_Wind_Onshore_Opt,31.536
DE,X_Electrolysis,31.536
World,X_Electrolysis,31.536
DE,X_Fuel_Cell,31.536
World,X_Fuel_Cell,31.536
DE,X_Methanation,31.536
World,X_Methanation,31.536
DE,Z_Import_Hardcoal,31.536
World,Z_Import_Hardcoal,31.536
DE,Z_Import_Gas,31.536
World,Z_Import_Gas,31.536
DE,Z_Import_Oil,31.536
World,Z_Import_Oil,31.536
DE,HHT_H2,31.536
World,HHT_H2,31.536
DE,D_CAES,31.536
World,D_CAES,31.536
DE,CHP_Biomass_CCS,31.536
World,CHP_Biomass_CCS,31.536
DE,P_Biomass_CCS,31.536
World,P_Biomass_CCS,31.536
DE,A_CCS_Capacity,1
World,A_CCS_Capacity,1
DE,D_Gas_Methane.1,1
World,D_Gas_Methane.1,1
DE,HLR_Gas_Boiler,31.536
World,HLR_Gas_Boiler,31.536
DE,HLR_Gas_CHP,31.536
World,HLR_Gas_CHP,31.536
DE,HLR_Biomass,31.536
World,HLR_Biomass,31.536
DE,HLR_Biomass_CHP,31.536
World,HLR_Biomass_CHP,31.536
DE,HLR_Hardcoal,31.536
World,HLR_Hardcoal,31.536
DE,HLR_Lignite,31.536
World,HLR_Lignite,31.536
DE,HLR_Hardcoal_CHP,31.536
World,HLR_Hardcoal_CHP,31.536
DE,HLR_Lignite_CHP,31.536
World,HLR_Lignite_CHP,31.536
DE,HLR_Direct_Electric,31.536
World,HLR_Direct_Electric,31.536
DE,HLR_Solar_Thermal,31.536
World,HLR_Solar_Thermal,31.536
DE,HLR_Heatpump_Aerial,31.536
World,HLR_Heatpump_Aerial,31.536
DE,HLR_Heatpump_Ground,31.536
World,HLR_Heatpump_Ground,31.536
DE,HLR_Geothermal,31.536
World,HLR_Geothermal,31.536
DE,HLR_Oil_Boiler,31.536
World,HLR_Oil_Boiler,31.536
DE,HLI_Gas_Boiler,31.536
World,HLI_Gas_Boiler,31.536
DE,HLI_Gas_CHP,31.536
World,HLI_Gas_CHP,31.536
DE,HLI_Biomass,31.536
World,HLI_Biomass,31.536
DE,HLI_Biomass_CHP,31.536
World,HLI_Biomass_CHP,31.536
DE,HLI_Hardcoal,31.536
World,HLI_Hardcoal,31.536
DE,HLI_Lignite,31.536
World,HLI_Lignite,31.536
DE,HLI_Hardcoal_CHP,31.536
World,HLI_Hardcoal_CHP,31.536
DE,HLI_Direct_Electric,31.536
World,HLI_Direct_Electric,31.536
DE,HLI_Solar_Thermal,31.536
World,HLI_Solar_Thermal,31.536
DE,HLI_Fuelcell,31.536
World,HLI_Fuelcell,31.536
DE,HLI_Geothermal,31.536
World,HLI_Geothermal,31.536
DE,HLI_Oil_Boiler,31.536
World,HLI_Oil_Boiler,31.536
DE,HLI_Oil_CHP,31.536
World,HLI_Oil_CHP,31.536
DE,HMI_Gas,31.536
World,HMI_Gas,31.536
DE,HMI_Biomass,31.536
World,HMI_Biomass,31.536
DE,HMI_HardCoal,31.536
World,HMI_HardCoal,31.536
DE,HMI_Steam_Electric,31.536
World,HMI_Steam_Electric,31.536
DE,HMI_Oil,31.536
World,HMI_Oil,31.536
DE,HHI_BF_BOF,31.536
World,HHI_BF_BOF,31.536
DE,HHI_DRI_EAF,31.536
World,HHI_DRI_EAF,31.536
DE,HHI_Scrap_EAF,31.536
World,HHI_Scrap_EAF,31.536
DE,HHI_H2DRI_EAF,31.536
World,HHI_H2DRI_EAF,31.536
DE,HHI_Molten_Electrolysis,31.536
World,HHI_Molten_Electrolysis,31.536
DE,HHI_Bio_BF_BOF,31.536
World,HHI_Bio_BF_BOF,31.536
DE,HLI_Lignite_CHP,31.536
World,HLI_Lignite_CHP,31.536
DE,HHI_BF_BOF_CCS,31.536
World,HHI_BF_BOF_CCS,31.536
DE,HHI_DRI_EAF_CCS,31.536
World,HHI_DRI_EAF_CCS,31.536
DE,HLI_Biomass_CHP_CCS,31.536
World,HLI_Biomass_CHP_CCS,31.536
DE,HLI_Hardcoal_CHP_CCS,31.536
World,HLI_Hardcoal_CHP_CCS,31.536
DE,HLI_Lignite_CHP_CCS,31.536
World,HLI_Lignite_CHP_CCS,31.536
DE,HLR_Biomass_CHP_CCS,31.536
World,HLR_Biomass_CHP_CCS,31.536
DE,HLR_Hardcoal_CHP_CCS,31.536
World,HLR_Hardcoal_CHP_CCS,31.536
DE,HLR_Lignite_CHP_CCS,31.536
World,HLR_Lignite_CHP_CCS,31.536
DE,HMI_Gas_CCS,31.536
World,HMI_Gas_CCS,31.536
DE,HMI_HardCoal_CCS,31.536
World,HMI_HardCoal_CCS,31.536
DE,P_Coal_Hardcoal_CCS,31.536
World,P_Coal_Hardcoal_CCS,31.536
DE,P_Coal_Lignite_CCS,31.536
World,P_Coal_Lignite_CCS,31.536
DE,P_Gas_CCS,31.536
World,P_Gas_CCS,31.536
DE,X_SMR,31.536
World,X_SMR,31.536
DE,X_SMR_CCS,31.536
World,X_SMR_CCS,31.536
DE,X_DAC,31.536
World,X_DAC,31.536
DE,A_Air,1
World,A_Air,1
DE,HLR_H2_Boiler,31.536
World,HLR_H2_Boiler,31.536
DE,HLI_H2_Boiler,31.536
World,HLI_H2_Boiler,31.536
DE,X_Biofuel,31.536
World,X_Biofuel,31.536
DE,HMI_H2,31.536
World,HMI_H2,31.536
DE,X_Powerfuel,1
World,X_Powerfuel,1
DE,RES_Grass,1
World,RES_Grass,1
DE,RES_Wood,1
World,RES_Wood,1
DE,RES_Residues,1
World,RES_Residues,1
DE,RES_Paper_Cardboard,1
World,RES_Paper_Cardboard,1
DE,RES_Roundwood,1
World,RES_Roundwood,1
DE,RES_Biogas,1
World,RES_Biogas,1
