Technology,Subset,Value,,Unit,Source,Updated at,Updated by
RES_PV_Rooftop_Residential,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_PV_Rooftop_commercial,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_PV_utility_opt,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_PV_utility_avg,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_PV_utility_inf,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_CSP,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
HLR_Solar_Thermal,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
HLI_Solar_Thermal,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_PV_Utility_Tracking,Solar,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_Wind_Offshore_Deep,Wind,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_Wind_Offshore_Shallow,Wind,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_Wind_Offshore_Transitional,Wind,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_Wind_Onshore_opt,Wind,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_Wind_Onshore_avg,Wind,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
RES_Wind_Onshore_inf,Wind,1,,Binary,not relevant,08.09.2023,Konstantin Löffler
RES_Wind_Offshore_Deep        ,Renewables,1,,Binary,not relevant,09.09.2023,Konstantin Löffler
RES_Wind_Offshore_Shallow     ,Renewables,1,,Binary,not relevant,10.09.2023,Konstantin Löffler
RES_Wind_Offshore_Transitional,Renewables,1,,Binary,not relevant,11.09.2023,Konstantin Löffler
RES_Wind_Onshore_opt          ,Renewables,1,,Binary,not relevant,12.09.2023,Konstantin Löffler
RES_Wind_Onshore_avg          ,Renewables,1,,Binary,not relevant,13.09.2023,Konstantin Löffler
RES_Wind_Onshore_inf          ,Renewables,1,,Binary,not relevant,14.09.2023,Konstantin Löffler
RES_PV_Rooftop_Residential    ,Renewables,1,,Binary,not relevant,15.09.2023,Konstantin Löffler
RES_PV_Rooftop_commercial     ,Renewables,1,,Binary,not relevant,16.09.2023,Konstantin Löffler
RES_PV_utility_opt            ,Renewables,1,,Binary,not relevant,17.09.2023,Konstantin Löffler
RES_PV_utility_avg            ,Renewables,1,,Binary,not relevant,18.09.2023,Konstantin Löffler
RES_PV_utility_inf            ,Renewables,1,,Binary,not relevant,19.09.2023,Konstantin Löffler
RES_CSP                       ,Renewables,1,,Binary,not relevant,20.09.2023,Konstantin Löffler
RES_Geothermal                ,Renewables,1,,Binary,not relevant,21.09.2023,Konstantin Löffler
RES_Hydro_Small               ,Renewables,1,,Binary,not relevant,22.09.2023,Konstantin Löffler
RES_Hydro_Large               ,Renewables,1,,Binary,not relevant,23.09.2023,Konstantin Löffler
RES_Ocean                     ,Renewables,1,,Binary,not relevant,24.09.2023,Konstantin Löffler
P_Biomass                     ,Renewables,1,,Binary,not relevant,25.09.2023,Konstantin Löffler
P_Biomass_CCS                 ,Renewables,1,,Binary,not relevant,26.09.2023,Konstantin Löffler
HLR_Biomass                   ,Renewables,1,,Binary,not relevant,27.09.2023,Konstantin Löffler
HLR_Direct_Electric           ,Renewables,1,,Binary,not relevant,28.09.2023,Konstantin Löffler
HLR_Solar_Thermal             ,Renewables,1,,Binary,not relevant,29.09.2023,Konstantin Löffler
HLR_Heatpump_Aerial           ,Renewables,1,,Binary,not relevant,30.09.2023,Konstantin Löffler
HLR_Heatpump_Ground           ,Renewables,1,,Binary,not relevant,01.10.2023,Konstantin Löffler
HLR_Geothermal                ,Renewables,1,,Binary,not relevant,02.10.2023,Konstantin Löffler
HLI_Biomass                   ,Renewables,1,,Binary,not relevant,03.10.2023,Konstantin Löffler
HLI_Direct_Electric           ,Renewables,1,,Binary,not relevant,04.10.2023,Konstantin Löffler
HLI_Solar_Thermal             ,Renewables,1,,Binary,not relevant,05.10.2023,Konstantin Löffler
HLI_Fuelcell                  ,Renewables,1,,Binary,not relevant,06.10.2023,Konstantin Löffler
HLI_Geothermal                ,Renewables,1,,Binary,not relevant,07.10.2023,Konstantin Löffler
HMI_Biomass                   ,Renewables,1,,Binary,not relevant,08.10.2023,Konstantin Löffler
HMI_Steam_Electric            ,Renewables,1,,Binary,not relevant,09.10.2023,Konstantin Löffler
HHI_Scrap_EAF                 ,Renewables,1,,Binary,not relevant,10.10.2023,Konstantin Löffler
HHI_H2DRI_EAF                 ,Renewables,1,,Binary,not relevant,11.10.2023,Konstantin Löffler
HHI_Molten_Electrolysis       ,Renewables,1,,Binary,not relevant,12.10.2023,Konstantin Löffler
HHI_Bio_BF_BOF                ,Renewables,1,,Binary,not relevant,13.10.2023,Konstantin Löffler
HLR_H2_Boiler                 ,Renewables,1,,Binary,not relevant,14.10.2023,Konstantin Löffler
HLI_H2_Boiler                 ,Renewables,1,,Binary,not relevant,15.10.2023,Konstantin Löffler
CHP_Biomass_Solid             ,Renewables,1,,Binary,not relevant,16.10.2023,Konstantin Löffler
CHP_Biomass_Solid_CCS         ,Renewables,1,,Binary,not relevant,17.10.2023,Konstantin Löffler
CHP_Gas_CCGT_Biogas           ,Renewables,1,,Binary,not relevant,18.10.2023,Konstantin Löffler
CHP_Gas_CCGT_SynGas           ,Renewables,1,,Binary,not relevant,19.10.2023,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS       ,Renewables,1,,Binary,not relevant,20.10.2023,Konstantin Löffler
RES_PV_Utility_Tracking       ,Renewables,1,,Binary,not relevant,21.10.2023,Konstantin Löffler
P_Biomass_CCS           ,CCS,1,,Binary,not relevant,22.10.2023,Konstantin Löffler
HHI_BF_BOF_CCS          ,CCS,1,,Binary,not relevant,23.10.2023,Konstantin Löffler
