Technology,Value
A_Air,1
A_Air,1
A_Air.1,1
A_Air.1,1
A_CCS_Capacity,1
A_CCS_Capacity,1
A_Rooftop_Commercial,1
A_Rooftop_Commercial,1
A_Rooftop_Residential,1
A_Rooftop_Residential,1
CHP_Biomass_CCS,31.536
CHP_Biomass_CCS,31.536
CHP_Biomass_Solid,31.536
CHP_Biomass_Solid,31.536
CHP_Biomass_Solid_CCS,31.536
CHP_Biomass_Solid_CCS,31.536
CHP_Coal_Hardcoal,31.536
CHP_Coal_Hardcoal,31.536
CHP_Coal_Hardcoal_CCS,31.536
CHP_Coal_Hardcoal_CCS,31.536
CHP_Coal_Lignite,31.536
CHP_Coal_Lignite,31.536
CHP_Coal_Lignite_CCS,31.536
CHP_Coal_Lignite_CCS,31.536
CHP_Gas_CCGT_Biogas,31.536
CHP_Gas_CCGT_Biogas,31.536
CHP_Gas_CCGT_Biogas_CCS,31.536
CHP_Gas_CCGT_Biogas_CCS,31.536
CHP_Gas_CCGT_Natural,31.536
CHP_Gas_CCGT_Natural,31.536
CHP_Gas_CCGT_Natural_CCS,31.536
CHP_Gas_CCGT_Natural_CCS,31.536
CHP_Gas_CCGT_SynGas,31.536
CHP_Gas_CCGT_SynGas,31.536
CHP_Hydrogen_FuelCell,31.536
CHP_Hydrogen_FuelCell,31.536
CHP_Oil,31.536
CHP_Oil,31.536
D_Battery_Li-Ion,31.536
D_Battery_Li-Ion,31.536
D_Battery_Redox,31.536
D_Battery_Redox,31.536
D_CAES,31.536
D_CAES,31.536
D_Gas_H2,31.536
D_Gas_H2,31.536
D_Gas_Methane,31.536
D_Gas_Methane,31.536
D_Gas_Methane.1,1
D_Gas_Methane.1,1
D_Heat_HLI,31.536
D_Heat_HLI,31.536
D_Heat_HLR,31.536
D_Heat_HLR,31.536
D_PHS,31.536
D_PHS,31.536
D_PHS_Residual,31.536
D_PHS_Residual,31.536
FRT_Rail_Conv,1
FRT_Rail_Conv,1
FRT_Rail_Electric,1
FRT_Rail_Electric,1
FRT_Road_BEV,1
FRT_Road_BEV,1
FRT_Road_H2,1
FRT_Road_H2,1
FRT_Road_ICE,1
FRT_Road_ICE,1
FRT_Road_LNG,1
