Region,Technology,Emission,Year,Value
World,CHP_Biomass_CCS,CO2,2018,1
DE,CHP_Biomass_CCS,CO2,2018,1
World,CHP_Biomass_CCS,CO2,2020,1
DE,CHP_Biomass_CCS,CO2,2020,1
World,CHP_Biomass_CCS,CO2,2025,1
DE,CHP_Biomass_CCS,CO2,2025,1
World,CHP_Biomass_CCS,CO2,2030,1
DE,CHP_Biomass_CCS,CO2,2030,1
World,CHP_Biomass_CCS,CO2,2035,1
DE,CHP_Biomass_CCS,CO2,2035,1
World,CHP_Biomass_CCS,CO2,2040,1
DE,CHP_Biomass_CCS,CO2,2040,1
World,CHP_Biomass_CCS,CO2,2045,1
DE,CHP_Biomass_CCS,CO2,2045,1
World,CHP_Biomass_CCS,CO2,2050,1
DE,CHP_Biomass_CCS,CO2,2050,1
DE,CHP_Biomass_Solid,CO2,2018,1
DE,CHP_Biomass_Solid,CO2,2020,1
DE,CHP_Biomass_Solid,CO2,2025,1
DE,CHP_Biomass_Solid,CO2,2030,1
DE,CHP_Biomass_Solid,CO2,2035,1
DE,CHP_Biomass_Solid,CO2,2040,1
DE,CHP_Biomass_Solid,CO2,2045,1
DE,CHP_Biomass_Solid,CO2,2050,1
DE,CHP_Biomass_Solid_CCS,CO2,2018,1
DE,CHP_Biomass_Solid_CCS,CO2,2020,1
DE,CHP_Biomass_Solid_CCS,CO2,2025,1
DE,CHP_Biomass_Solid_CCS,CO2,2030,1
DE,CHP_Biomass_Solid_CCS,CO2,2035,1
DE,CHP_Biomass_Solid_CCS,CO2,2040,1
DE,CHP_Biomass_Solid_CCS,CO2,2045,1
DE,CHP_Biomass_Solid_CCS,CO2,2050,1
World,CHP_Coal_Hardcoal,CO2,2018,1
DE,CHP_Coal_Hardcoal,CO2,2018,1
World,CHP_Coal_Hardcoal,CO2,2020,1
DE,CHP_Coal_Hardcoal,CO2,2020,1
World,CHP_Coal_Hardcoal,CO2,2025,1
DE,CHP_Coal_Hardcoal,CO2,2025,1
World,CHP_Coal_Hardcoal,CO2,2030,1
DE,CHP_Coal_Hardcoal,CO2,2030,1
World,CHP_Coal_Hardcoal,CO2,2035,1
DE,CHP_Coal_Hardcoal,CO2,2035,1
World,CHP_Coal_Hardcoal,CO2,2040,1
DE,CHP_Coal_Hardcoal,CO2,2040,1
World,CHP_Coal_Hardcoal,CO2,2045,1
DE,CHP_Coal_Hardcoal,CO2,2045,1
World,CHP_Coal_Hardcoal,CO2,2050,1
DE,CHP_Coal_Hardcoal,CO2,2050,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2018,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2020,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2025,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2030,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2035,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2040,1
DE,CHP_Coal_Hardcoal_CCS,CO2,2045,1
