Technology,Year,Value,,Unit,Source,Updated at,Updated by
CHP_Biomass_Solid,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FRT_Rail_Electric,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FRT_Road_BEV,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FRT_Road_H2,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FRT_Road_OH,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FRT_Ship_Bio,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Biomass,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Direct_Electric,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Geothermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_H2_Boiler,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Heatpump_Aerial,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Heatpump_Ground,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Solar_Thermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HD_Electric_Boiler,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HD_Geothermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HD_Heatpump_Air,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HD_Heatpump_ExcessHeat,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HD_Solar_Thermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Bio_BF_BOF,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_H2DRI_EAF,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Molten_Electrolysis,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Scrap_EAF,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Biomass,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Direct_Electric,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Geothermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_H2_Boiler,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Heatpump,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Solar_Thermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Biomass,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HMHI_Steam_Electric,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
HMLI_Heatpump,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Biomass,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Biomass_CCS,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_CSP,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Geothermal,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Hydro_Reservoir,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Hydro_RoR,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Ocean,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_PV_Rooftop_Commercial,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_PV_Rooftop_Residential,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_PV_Utility_Avg,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_PV_Utility_Inf,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_PV_Utility_Opt,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_PV_Utility_Tracking,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Wind_Offshore_Deep,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Wind_Offshore_Shallow,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Wind_Offshore_Transitional,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Wind_Onshore_Avg,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Wind_Onshore_Inf,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
P_Wind_Onshore_Opt,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PSNG_Air_Bio,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PSNG_Air_H2,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PSNG_Rail_Electric,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PSNG_Road_BEV,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PSNG_Road_H2,All,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
