Region,Technology,Year,Value
World,CHP_Biomass_Solid,All,1
World,CHP_Biomass_Solid_CCS,All,1
World,CHP_Coal_Hardcoal,All,1
World,CHP_Coal_Hardcoal_CCS,All,1
World,CHP_Coal_Lignite,All,1
World,CHP_Coal_Lignite_CCS,All,1
World,CHP_Gas_CCGT_Biogas,All,1
World,CHP_Gas_CCGT_Biogas_CCS,All,1
World,CHP_Gas_CCGT_Natural,All,1
World,CHP_Gas_CCGT_Natural_CCS,All,1
World,CHP_Gas_CCGT_SynGas,All,1
World,CHP_Hydrogen_FuelCell,All,1
World,CHP_Oil,All,1
World,P_Biomass,All,1
World,P_Biomass_CCS,All,1
World,P_Coal_Hardcoal,All,1
World,P_Coal_Hardcoal_CCS,All,1
World,P_Coal_Lignite,All,1
World,P_Coal_Lignite_CCS,All,1
World,P_CSP,All,1
World,P_Gas_CCGT,All,1
World,P_Gas_CCS,All,1
World,P_Gas_Engines,All,1
World,P_Gas_OCGT,All,1
World,P_H2_OCGT,All,1
World,P_Hydro_RoR,All,1
World,P_Nuclear,All,1
World,P_Oil,All,1
