Fuel,Value,,Unit,Source,Updated at,Updated by
Biofuel,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Biomass,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
ETS,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas_Bio,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas_Natural,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas_Synth,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
H2,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Hardcoal,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LBG,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LH2,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LNG,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LSG,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Oil,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Power,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Powerfuel,1,,Binary,not relevant,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
H2_Blend,1,,Binary,not relevant, 26.09.2025, Dimitri Pinel <dimitri.pinel@sintef.no>
