Fuel,Subset,Value,,Unit,Source,Updated at,Updated by
Mobility_Passenger,TransportFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Mobility_Freight,TransportFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Gas_Natural,GasFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Gas_Bio,GasFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Gas_Synth,GasFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
H2_blend,GasFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Heat_Low_Industrial,HeatFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Heat_Medium_Industrial,HeatFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Heat_High_Industrial,HeatFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Heat_Low_Building,HeatFuels,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Heat_District,HeatFuels,1,,Binary,not relevant,30.06.2024,Morten Svendgård
,,,,,,,
