ModalType,ModalGroup,Value,,Unit,Source,Updated at,Updated by
MT_PSNG_ROAD,TransportModes,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_RAIL,TransportModes,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_AIR,TransportModes,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_ROAD,TransportModes,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_RAIL,TransportModes,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_SHIP,TransportModes,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_ROAD_RE,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_RAIL_RE,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_AIR_RE,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_ROAD_CONV,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_RAIL_CONV,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_PSNG_AIR_CONV,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_ROAD_RE,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_ROAD_CONV,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_RAIL_RE,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_RAIL_CONV,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_SHIP_CONV,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
MT_FRT_SHIP_RE,ModalSubgroups,1,,Binary,not relevant,18.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
