Region,Subset,Value,,Unit,Source,Updated at,Updated by
World,World,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,AT,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,BE,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,BG,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,CH,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,CZ,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,DE,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,DK,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,EE,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,ES,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,FI,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,FR,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,GR,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HR,HR,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,HU,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IE,IE,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,IT,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LT,LT,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LU,LU,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LV,LV,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
NL,NL,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
NO,NO,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,PL,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,PT,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
RO,RO,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,SE,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
SI,SI,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
SK,SK,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,TR,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,UK,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
NONEU_Balkan,NONEU_Balkan,1,,Binary,Initialise every region as their own subset so it can be used in the group limit parameters,03.07.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
