Technology,Mode_of_operation,ModalType,Value
PSNG_Road_BEV,1,MT_PSNG_ROAD,1
PSNG_Road_H2,1,MT_PSNG_ROAD,1
PSNG_Road_ICE,1,MT_PSNG_ROAD,1
PSNG_Road_PHEV,1,MT_PSNG_ROAD,1
PSNG_Road_ICE,2,MT_PSNG_ROAD,1
PSNG_Road_PHEV,2,MT_PSNG_ROAD,1
PSNG_Road_ICE,3,MT_PSNG_ROAD,1
PSNG_Road_PHEV,3,MT_PSNG_ROAD,1
PSNG_Road_LNG,1,MT_PSNG_ROAD,1
PSNG_Rail_Conv,1,MT_PSNG_RAIL,1
PSNG_Rail_Electric,1,MT_PSNG_RAIL,1
PSNG_Rail_Conv,2,MT_PSNG_RAIL,1
PSNG_Rail_Conv,3,MT_PSNG_RAIL,1
PSNG_Air_Bio,1,MT_PSNG_AIR,1
PSNG_Air_Conv,1,MT_PSNG_AIR,1
PSNG_Air_H2,1,MT_PSNG_AIR,1
PSNG_Air_Conv,2,MT_PSNG_AIR,1
FRT_Road_BEV,1,MT_FRT_ROAD,1
FRT_Road_H2,1,MT_FRT_ROAD,1
FRT_Road_ICE,1,MT_FRT_ROAD,1
FRT_Road_PHEV,1,MT_FRT_ROAD,1
FRT_Road_OH,1,MT_FRT_ROAD,1
FRT_Road_ICE,2,MT_FRT_ROAD,1
FRT_Road_PHEV,2,MT_FRT_ROAD,1
FRT_Road_ICE,3,MT_FRT_ROAD,1
FRT_Road_PHEV,3,MT_FRT_ROAD,1
FRT_Road_LNG,1,MT_FRT_ROAD,1
FRT_Rail_Conv,1,MT_FRT_RAIL,1
FRT_Rail_Electric,1,MT_FRT_RAIL,1
FRT_Rail_Conv,2,MT_FRT_RAIL,1
FRT_Rail_Conv,3,MT_FRT_RAIL,1
FRT_Ship_Bio,1,MT_FRT_SHIP,1
FRT_Ship_Conv,1,MT_FRT_SHIP,1
FRT_Ship_Conv,2,MT_FRT_SHIP,1
FRT_Ship_LNG,1,MT_FRT_SHIP,1
PSNG_Road_BEV,1,MT_PSNG_ROAD_RE,1
PSNG_Road_H2,1,MT_PSNG_ROAD_RE,1
PSNG_Road_ICE,2,MT_PSNG_ROAD_RE,1
PSNG_Road_PHEV,2,MT_PSNG_ROAD_RE,1
PSNG_Road_ICE,3,MT_PSNG_ROAD_RE,1
PSNG_Road_PHEV,3,MT_PSNG_ROAD_RE,1
PSNG_Road_LNG,1,MT_PSNG_ROAD_RE,1
PSNG_Rail_Electric,1,MT_PSNG_RAIL_RE,1
PSNG_Rail_Conv,2,MT_PSNG_RAIL_RE,1
PSNG_Rail_Conv,3,MT_PSNG_RAIL_RE,1
PSNG_Air_Bio,1,MT_PSNG_AIR_RE,1
PSNG_Air_H2,1,MT_PSNG_AIR_RE,1
FRT_Road_BEV,1,MT_FRT_ROAD_RE,1
FRT_Road_H2,1,MT_FRT_ROAD_RE,1
FRT_Road_OH,1,MT_FRT_ROAD_RE,1
FRT_Road_ICE,2,MT_FRT_ROAD_RE,1
FRT_Road_PHEV,2,MT_FRT_ROAD_RE,1
FRT_Road_ICE,3,MT_FRT_ROAD_RE,1
FRT_Road_PHEV,3,MT_FRT_ROAD_RE,1
FRT_Road_LNG,1,MT_FRT_ROAD_RE,1
FRT_Rail_Electric,1,MT_FRT_RAIL_RE,1
FRT_Rail_Conv,2,MT_FRT_RAIL_RE,1
FRT_Rail_Conv,3,MT_FRT_RAIL_RE,1
FRT_Ship_Bio,1,MT_FRT_SHIP_RE,1
FRT_Ship_Conv,2,MT_FRT_SHIP_RE,1
FRT_Ship_LNG,1,MT_FRT_SHIP_RE,1
PSNG_Road_ICE,1,MT_PSNG_ROAD_CONV,1
PSNG_Road_PHEV,1,MT_PSNG_ROAD_CONV,1
PSNG_Road_LNG,1,MT_PSNG_ROAD_CONV,1
PSNG_Air_Conv,1,MT_PSNG_RAIL_CONV,0
PSNG_Rail_Conv,1,MT_PSNG_RAIL_CONV,1
PSNG_Air_Conv,2,MT_PSNG_RAIL_CONV,0
PSNG_Air_Conv,1,MT_PSNG_AIR_CONV,1
PSNG_Air_Conv,2,MT_PSNG_AIR_CONV,1
FRT_Road_ICE,1,MT_FRT_ROAD_CONV,1
FRT_Road_PHEV,1,MT_FRT_ROAD_CONV,1
FRT_Road_LNG,1,MT_FRT_ROAD_CONV,1
FRT_Rail_Conv,1,MT_FRT_RAIL_CONV,1
FRT_Ship_Conv,1,MT_FRT_SHIP_CONV,1
FRT_Ship_LNG,1,MT_FRT_SHIP_CONV,1
