Technology,Sector,Value
A_Air,Resources,1
A_Rooftop_Commercial,Resources,1
A_Rooftop_Residential,Resources,1
CHP_Biomass_Solid,CHP,1
CHP_Biomass_Solid_CCS,CHP,1
CHP_Coal_Hardcoal,CHP,1
CHP_Coal_Hardcoal_CCS,CHP,1
CHP_Coal_Lignite,CHP,1
CHP_Coal_Lignite_CCS,CHP,1
CHP_Gas_CCGT_Biogas,CHP,1
CHP_Gas_CCGT_Biogas_CCS,CHP,1
CHP_Gas_CCGT_Natural,CHP,1
CHP_Gas_CCGT_Natural_CCS,CHP,1
CHP_Gas_CCGT_SynGas,CHP,1
CHP_Hydrogen_FuelCell,CHP,1
CHP_Oil,CHP,1
D_Battery_Li-Ion,Storages,1
D_Battery_Redox,Storages,1
D_CAES,Storages,1
D_Gas_H2,Storages,1
D_Gas_Methane,Storages,1
D_HLI_Tank_Large,Storages,1
D_HB_Tank_Small,Storages,1
D_HD_Pit,Storages,1
D_PHS,Storages,1
D_PHS_Residual,Storages,1
FRT_Rail_Conv,Transportation,1
FRT_Rail_Electric,Transportation,1
FRT_Road_BEV,Transportation,1
FRT_Road_H2,Transportation,1
FRT_Road_ICE,Transportation,1
FRT_Road_LNG,Transportation,1
FRT_Road_OH,Transportation,1
FRT_Road_PHEV,Transportation,1
FRT_Ship_Bio,Transportation,1
FRT_Ship_Conv,Transportation,1
FRT_Ship_LNG,Transportation,1
HHI_BF_BOF,Industry,1
HHI_BF_BOF_CCS,Industry,1
HHI_Bio_BF_BOF,Industry,1
HHI_DRI_EAF,Industry,1
HHI_DRI_EAF_CCS,Industry,1
HHI_H2DRI_EAF,Industry,1
HHI_Molten_Electrolysis,Industry,1
HHI_Scrap_EAF,Industry,1
HLI_Biomass,Industry,1
HLI_Convert_DH,Industry,1
HLI_Direct_Electric,Industry,1
HLI_Fuelcell,Industry,1
HLI_Gas_Boiler,Industry,1
HLI_Geothermal,Industry,1
HLI_H2_Boiler,Industry,1
HLI_Hardcoal,Industry,1
HLI_Lignite,Industry,1
HLI_Oil_Boiler,Industry,1
HLI_Solar_Thermal,Industry,1
HLI_Heatpump,Industry,1
HB_Biomass,Buildings,1
HB_Convert_DH,Buildings,1
HB_Direct_Electric,Buildings,1
HB_Gas_Boiler,Buildings,1
HB_Geothermal,Buildings,1
HB_H2_Boiler,Buildings,1
HB_Hardcoal,Buildings,1
HB_Heatpump_Aerial,Buildings,1
HB_Heatpump_Ground,Buildings,1
HB_Lignite,Buildings,1
HB_Oil_Boiler,Buildings,1
HB_Solar_Thermal,Buildings,1
HMHI_Biomass,Industry,1
HMHI_Gas,Industry,1
HMHI_Gas_CCS,Industry,1
HMHI_H2,Industry,1
HMHI_HardCoal,Industry,1
HMHI_HardCoal_CCS,Industry,1
HMHI_Oil,Industry,1
HMHI_Steam_Electric,Industry,1
HMLI_Heatpump,Industry,1
HD_Heatpump_Air,Buildings,1
CHP_WasteToEnergy,CHP,1
HD_Geothermal,Buildings,1
HD_Electric_Boiler,Buildings,1
HD_Solar_Thermal,Buildings,1
HD_Heatpump_ExcessHeat,Buildings,1
P_Biomass,Power,1
P_Biomass_CCS,Power,1
P_Coal_Hardcoal,Power,1
P_Coal_Hardcoal_CCS,Power,1
P_Coal_Lignite,Power,1
P_Coal_Lignite_CCS,Power,1
P_Gas_CCGT,Power,1
P_Gas_CCS,Power,1
P_Gas_Engines,Power,1
P_Gas_OCGT,Power,1
P_H2_OCGT,Power,1
P_Nuclear,Power,1
P_Oil,Power,1
PSNG_Air_Bio,Transportation,1
PSNG_Air_Conv,Transportation,1
PSNG_Air_H2,Transportation,1
PSNG_Rail_Conv,Transportation,1
PSNG_Rail_Electric,Transportation,1
PSNG_Road_BEV,Transportation,1
PSNG_Road_H2,Transportation,1
PSNG_Road_ICE,Transportation,1
PSNG_Road_LNG,Transportation,1
PSNG_Road_PHEV,Transportation,1
R_Coal_Hardcoal,Resources,1
R_Coal_Lignite,Resources,1
R_Gas,Resources,1
R_Nuclear,Resources,1
R_Oil,Resources,1
R_Biogas,Resources,1
P_CSP,Power,1
P_Geothermal,Power,1
R_Grass,Resources,1
P_Hydro_Reservoir,Power,1
P_Hydro_RoR,Power,1
P_Ocean,Power,1
R_Paper_Cardboard,Resources,1
P_PV_Rooftop_Commercial,Power,1
P_PV_Rooftop_Residential,Power,1
P_PV_Utility_Avg,Power,1
P_PV_Utility_Inf,Power,1
P_PV_Utility_Opt,Power,1
P_PV_Utility_Tracking,Power,1
R_Residues,Resources,1
R_Roundwood,Resources,1
P_Wind_Offshore_Deep,Power,1
P_Wind_Offshore_Shallow,Power,1
P_Wind_Offshore_Transitional,Power,1
P_Wind_Onshore_Avg,Power,1
P_Wind_Onshore_Inf,Power,1
P_Wind_Onshore_Opt,Power,1
R_Waste,Resources,1
R_Wood,Resources,1
X_Alkaline_Electrolysis,Transformation,1
X_Biofuel,Transformation,1
X_DAC_HT,Transformation,1
X_DAC_LT,Transformation,1
X_Electrolysis,Transformation,1
X_Fuel_Cell,Transformation,1
X_Gasifier,Transformation,1
X_Liquifier,Transformation,1
X_Methanation,Transformation,1
X_PEM_Electrolysis,Transformation,1
X_Powerfuel,Transformation,1
X_SMR,Transformation,1
X_ATR_CCS,Transformation,1
X_SOEC_Electrolysis,Transformation,1
Z_ETS_Buy,Resources,1
Z_ETS_Sell,Resources,1
Z_Import_Gas,Resources,1
Z_Import_H2,Resources,1
Z_Import_Hardcoal,Resources,1
Z_Import_LNG,Resources,1
Z_Import_Oil,Resources,1
