Technology,Subset,Value,,Unit,Source,Updated at,Updated by
CHP_Biomass_Solid,CHP,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid,EmergingTechnologies,1,,Binary,not relevant,03.12.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid,Heat,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid,PhaseInSet,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid,Renewables,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid,Transformation,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,CCS,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,CHP,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,EmergingTechnologies,1,,Binary,not relevant,03.12.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,Heat,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,PhaseInSet,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,Renewables,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,Transformation,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,CHP,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,FossilPower,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,Heat,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,PhaseOutSet,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,Transformation,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,CCS,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,CHP,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,EmergingTechnologies,1,,Binary,not relevant,03.12.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,FossilPower,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,Heat,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,PhaseInSet,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,Transformation,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,CHP,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,FossilPower,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,Heat,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,PhaseOutSet,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,Transformation,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,CCS,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,CHP,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,EmergingTechnologies,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,FossilPower,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,Heat,1,,Binary,not relevant,08.09.2023,Konstantin Loffler <kl@wip.tu-berlin.de>
