Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
BG,P_Nuclear,2035,1.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Nuclear,2040,1.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,P_Nuclear,2040,2.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,P_Nuclear,2045,1.1,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,P_Nuclear,2030,0.16,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,P_Nuclear,2040,3.3,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,P_Nuclear,2045,9.9,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,P_Nuclear,2050,3.3,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,P_Nuclear,2055,3.3,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
FR,P_Nuclear,2060,3.3,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,P_Nuclear,2035,2.4,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,P_Nuclear,2035,0.4,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,P_Nuclear,2040,1.6,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,P_Nuclear,2045,1.5,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,P_Nuclear,2050,4.5,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
NL,P_Nuclear,2035,1,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
NL,P_Nuclear,2040,1,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,P_Nuclear,2035,2.8,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,P_Nuclear,2040,4.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,P_Nuclear,2045,1.4,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
RO,P_Nuclear,2030,0.7,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
RO,P_Nuclear,2035,0.7,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,P_Nuclear,2035,2.5,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,P_Nuclear,2040,5,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,P_Nuclear,2045,5,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SI,P_Nuclear,2040,1,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SK,P_Nuclear,2035,0.44,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
SK,P_Nuclear,2045,1.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,P_Nuclear,2030,1.63,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,P_Nuclear,2035,1.63,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,P_Nuclear,2040,1.631,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,P_Nuclear,2045,9.632,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
UK,P_Nuclear,2050,9,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,P_Nuclear,2025,1.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,P_Nuclear,2030,3.6,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,P_Nuclear,2035,2.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,P_Nuclear,2040,2.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,P_Nuclear,2045,2.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,P_Nuclear,2050,2.2,,GW,Partner Feedback Man0EUvRE - Sandrine Charousset,03.06.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
