Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
World,A_Rooftop,2018,1.0,,Fraction,,,
World,CHP_Biomass,2018,0.84,,Fraction,,,
World,CHP_Coal_Hardcoal,2018,0.844,,Fraction,,,
World,CHP_Coal_Lignite,2018,0.844,,Fraction,,,
World,CHP_Gas,2018,0.87,,Fraction,,,
World,CHP_Nuclear,2018,0.837,,Fraction,,,
World,CHP_Nuclear,2018,0.8,,Fraction,,,
World,CHP_Nuclear,2018,0.8,,Fraction,,,
World,D_Battery_Li-Ion,2018,1.0,,Fraction,,,
World,D_Battery_Redox,2018,1.0,,Fraction,,,
World,D_Gas_H2,2018,1.0,,Fraction,,,
World,D_Gas_Methane,2018,1.0,,Fraction,,,
World,D_Heat_HLI,2018,1.0,,Fraction,,,
World,D_Heat_HLR,2018,1.0,,Fraction,,,
World,D_PHS,2018,1.0,,Fraction,,,
World,D_PHS_Residual,2018,1.0,,Fraction,,,
World,D_CAES,2018,1.0,,Fraction,,,
World,FRT_Rail_Conv,2018,0.95,,Fraction,,,
World,FRT_Rail_Electric,2018,0.95,,Fraction,,,
World,FRT_Road_OH,2018,0.0,,Fraction,,,
World,FRT_Road_BEV,2018,0.0,,Fraction,,,
World,FRT_Road_H2,2018,0.0,,Fraction,,,
World,FRT_Road_ICE,2018,0.95,,Fraction,,,
World,FRT_Road_PHEV,2018,0.0,,Fraction,,,
World,FRT_Road_ICE_Bio,2018,0.95,,Fraction,,,
World,FRT_Road_PHEV_Bio,2018,0.95,,Fraction,,,
World,FRT_Ship_Bio,2018,0.95,,Fraction,,,
World,FRT_Ship_Conv,2018,0.95,,Fraction,,,
World,HHT_Biomass,2018,0.84,,Fraction,,,
World,HHT_Coal_Hardcoal,2018,0.844,,Fraction,,,
World,HHT_Coal_Lignite,2018,0.844,,Fraction,,,
World,HHT_Electric_Furnace,2018,0.95,,Fraction,,,
World,HHT_Gas,2018,0.87,,Fraction,,,
World,HHT_Geothermal,2018,0.92,,Fraction,,,
World,HHT_Oil,2018,0.84,,Fraction,,,
World,HHT_H2,2018,0.982,,Fraction,,,
World,HLT_Biomass,2018,0.84,,Fraction,,,
World,HLT_Coal_Hardcoal,2018,0.844,,Fraction,,,
World,HLT_Coal_Lignite,2018,0.844,,Fraction,,,
World,HLT_Electric_Furnace,2018,0.95,,Fraction,,,
World,HLT_Gas,2018,0.87,,Fraction,,,
World,HLT_Geothermal,2018,0.92,,Fraction,,,
World,HLT_Heatpump,2018,0.95,,Fraction,,,
World,HLT_Oil,2018,0.84,,Fraction,,,
World,HLT_Rooftop_Commercial,2018,0.98,,Fraction,,,
World,HLT_Rooftop_Residential,2018,0.98,,Fraction,,,
World,P_Biomass,2018,0.84,,Fraction,,,
World,P_Coal_Hardcoal,2018,0.844,,Fraction,,,
World,P_Coal_Lignite,2018,0.844,,Fraction,,,
World,P_Gas,2018,0.87,,Fraction,,,
World,P_Nuclear,2018,0.837,,Fraction,,,
World,P_Oil,2018,0.84,,Fraction,,,
World,PSNG_Air_Bio,2018,0.95,,Fraction,,,
World,PSNG_Air_Conv,2018,0.95,,Fraction,,,
World,PSNG_Air_H2,2018,0.95,,Fraction,,,
World,PSNG_Rail_Conv,2018,0.95,,Fraction,,,
World,PSNG_Rail_Electric,2018,0.95,,Fraction,,,
World,PSNG_Road_BEV,2018,0.0,,Fraction,,,
World,PSNG_Road_H2,2018,0.0,,Fraction,,,
World,PSNG_Road_ICE,2018,0.95,,Fraction,,,
World,PSNG_Road_PHEV,2018,0.0,,Fraction,,,
World,PSNG_Road_ICE_Bio,2018,0.95,,Fraction,,,
World,PSNG_Road_PHEV_Bio,2018,0.95,,Fraction,,,
World,R_Coal_Hardcoal,2018,1.0,,Fraction,,,
World,R_Coal_Lignite,2018,1.0,,Fraction,,,
World,R_Gas,2018,1.0,,Fraction,,,
World,R_Nuclear,2018,1.0,,Fraction,,,
World,R_Oil,2018,1.0,,Fraction,,,
World,RES_Biomass,2018,1.0,,Fraction,,,
World,RES_CSP,2018,0.98,,Fraction,,,
World,RES_CSP_Storage,2018,0.98,,Fraction,,,
World,RES_Geothermal,2018,0.92,,Fraction,,,
World,RES_Hydro_Large,2018,0.33,,Fraction,,,
World,RES_Hydro_Small,2018,0.9,,Fraction,,,
World,RES_Ocean,2018,0.36,,Fraction,,,
World,RES_PV_Rooftop_Commercial,2018,0.98,,Fraction,,,
World,RES_PV_Rooftop_Residential,2018,0.98,,Fraction,,,
