Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
World,CHP_Biomass_Solid,2025,2940,,MEUR/GW,Biomass CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2030,2750,,MEUR/GW,Biomass CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2035,2600,,MEUR/GW,Biomass CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2040,2450,,MEUR/GW,Biomass CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2045,2315,,MEUR/GW,Biomass CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2050,2180,,MEUR/GW,Biomass CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2055,2180,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2060,2180,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2025,5880,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2030,5500,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2035,5200,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2040,4900,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2045,4630,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2050,4360,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2055,4360,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2060,4360,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2025,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2030,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2035,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2040,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2045,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2050,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2055,1940,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2060,1940,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2025,3356.2,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2030,3356.2,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2035,3356.2,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2040,3356.2,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2045,3356.2,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2050,3356.2,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2055,3356.2,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2060,3356.2,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2025,1940,,MEUR/GW,Steam turbine coal supercritical CHP (capex low) - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),28.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
