Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
AT,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
AT,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BE,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
BG,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CH,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CH,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CZ,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
CZ,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DE,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2050,740.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
DK,CO2,2055,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DK,CO2,2060,740.0,,M€/Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,CO2,2018,15.56,,M€/Megatonnes,Primary Market Auction- EEX 2018,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
EE,CO2,2020,24.37,,M€/Megatonnes,Primary Market Auction- EEX 2020,07.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
EE,CO2,2025,56.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
EE,CO2,2030,125.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
EE,CO2,2035,250.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
EE,CO2,2040,454.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
EE,CO2,2045,579.0,,M€/Megatonnes,OpenENTRANCE Deliverable NO 3.2- see assumption text file for more information.,22.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
