Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
World,CHP_Biomass_Solid_CCS,2018,124.476,,MEUR/GW,needs update (same as 2021 for now),17.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2021,124.476,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2025,118.6294,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2030,112.7828,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2035,108.2564,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2040,103.73,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2045,99.7694,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2050,95.8088,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2055,95.8088,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2060,95.8088,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2018,67.248,,MEUR/GW,needs update (same as 2021 for now),17.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2021,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2025,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2030,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2035,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2040,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2045,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2050,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2055,67.248,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2060,67.248,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2018,67.248,,MEUR/GW,needs update (same as 2021 for now),17.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2021,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2025,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2030,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2035,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2040,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2045,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2050,67.248,,MEUR/GW,"44% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2055,67.248,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,2060,67.248,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Gas_CCGT_Biogas_CCS,2018,112.5696,,MEUR/GW,needs update (same as 2021 for now),17.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Gas_CCGT_Biogas_CCS,2021,112.5696,,MEUR/GW,"64% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS lower range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
