Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
World,CHP_Biomass_Solid,2025,98.9,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2030,92.46,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2035,87.17,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2040,81.88,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2045,77.165,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2050,72.45,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2055,72.45,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2060,72.45,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2025,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2030,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2035,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2040,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2045,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2050,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2055,50.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2060,50.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2025,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2030,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2035,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2040,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2045,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Lignite,2050,50.83,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX high,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
