Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
World,CHP_Biomass_Solid,2025,67.62,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2030,63.25,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2035,59.8,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2040,56.35,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2045,53.245,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2050,50.14,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu) - 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2055,50.14,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2060,50.14,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2025,135.24,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2030,126.5,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2035,119.6,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2040,112.7,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2045,106.49,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2050,100.28,,MEUR/GW,"100 % increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2055,100.28,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,2060,100.28,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2025,44.62,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2030,44.62,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2035,44.62,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2040,44.62,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2045,44.62,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2050,44.62,,MEUR/GW,assumend equal Biomass_CHP: 2.3% of CAPEX,16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2055,44.62,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,2060,44.62,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,2025,77.1926,,MEUR/GW,"73% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS upper range)",16.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
