Region,Region2,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,DolAmroth,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Gondor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Rohan,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Harad,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mordor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Gondor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Rohan,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Harad,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mordor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Rohan,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Harad,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mordor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Harad,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mordor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mordor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,DolAmroth,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,DolAmroth,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,DolAmroth,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,DolAmroth,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,DolAmroth,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Gondor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Gondor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Gondor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Gondor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Rohan,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Rohan,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Rohan,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Harad,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Harad,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mordor,Power,All,1.2,,Factor,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
