Region,Fuel,Year,ModalType,Value,,Unit,Source,Updated at,Updated by
DolAmroth,Mobility_Passenger,2018,MT_PSNG_ROAD,0.81,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2018,MT_PSNG_ROAD,0.86,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2018,MT_PSNG_ROAD,0.84,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2018,MT_PSNG_ROAD,0.89,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2018,MT_PSNG_ROAD,0.9,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2020,MT_PSNG_ROAD,0.8,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2020,MT_PSNG_ROAD,0.845,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2020,MT_PSNG_ROAD,0.825,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2020,MT_PSNG_ROAD,0.875,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2020,MT_PSNG_ROAD,0.885,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2025,MT_PSNG_ROAD,0.785,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2025,MT_PSNG_ROAD,0.83,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2025,MT_PSNG_ROAD,0.81,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2025,MT_PSNG_ROAD,0.86,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2025,MT_PSNG_ROAD,0.865,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2030,MT_PSNG_ROAD,0.76,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2030,MT_PSNG_ROAD,0.81,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2030,MT_PSNG_ROAD,0.79,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2030,MT_PSNG_ROAD,0.84,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2030,MT_PSNG_ROAD,0.845,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2035,MT_PSNG_ROAD,0.74,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2035,MT_PSNG_ROAD,0.79,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2035,MT_PSNG_ROAD,0.77,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2035,MT_PSNG_ROAD,0.82,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2035,MT_PSNG_ROAD,0.825,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2040,MT_PSNG_ROAD,0.72,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2040,MT_PSNG_ROAD,0.77,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2040,MT_PSNG_ROAD,0.75,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2040,MT_PSNG_ROAD,0.8,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2040,MT_PSNG_ROAD,0.805,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2045,MT_PSNG_ROAD,0.7,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2045,MT_PSNG_ROAD,0.75,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2045,MT_PSNG_ROAD,0.73,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2045,MT_PSNG_ROAD,0.77,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2045,MT_PSNG_ROAD,0.78,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2050,MT_PSNG_ROAD,0.675,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2050,MT_PSNG_ROAD,0.725,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2050,MT_PSNG_ROAD,0.705,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2050,MT_PSNG_ROAD,0.74,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2050,MT_PSNG_ROAD,0.75,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
