Region,Technology,Value,Unnamed: 3,Unit,Source,Updated at,Updated by
CZ,R_Coal_Hardcoal,31987.0,,PJ,BP Satistical Review of World Energy - 2018,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,R_Coal_Hardcoal,348.0,,PJ,,,
UK,R_Coal_Hardcoal,2030.0,,PJ,,,
ES,R_Coal_Hardcoal,12586.0,,PJ,,,
PT,R_Coal_Hardcoal,12586.0,,PJ,,,
PL,R_Coal_Hardcoal,542300.0,,PJ,,,
HU,R_Coal_Hardcoal,2774.333333,,PJ,,,
RO,R_Coal_Hardcoal,2774.333333,,PJ,,,
SK,R_Coal_Hardcoal,2774.333333,,PJ,,,
NONEU_Balkan,R_Coal_Hardcoal,6.415753425,,PJ,,,
BG,R_Coal_Hardcoal,6.415753425,,PJ,,,
HR,R_Coal_Hardcoal,6.415753425,,PJ,,,
SI,R_Coal_Hardcoal,6.415753425,,PJ,,,
CZ,R_Coal_Lignite,38595.0,,PJ,,,
DE,R_Coal_Lignite,543000.0,,PJ,,,
PL,R_Coal_Lignite,81915.0,,PJ,,,
HU,R_Coal_Lignite,14565.0,,PJ,,,
RO,R_Coal_Lignite,14565.0,,PJ,,,
SK,R_Coal_Lignite,14565.0,,PJ,,,
NONEU_Balkan,R_Coal_Lignite,54810.0,,PJ,,,
BG,R_Coal_Lignite,54810.0,,PJ,,,
HR,R_Coal_Lignite,54810.0,,PJ,,,
SI,R_Coal_Lignite,54810.0,,PJ,,,
GR,R_Coal_Lignite,4350.0,,PJ,,,
DK,R_Oil,2294.3664,,PJ,,,
UK,R_Oil,14339.79,,PJ,,,
IT,R_Oil,2867.958,,PJ,,,
NO,R_Oil,61923.6,,PJ,,,
FI,R_Oil,14530.9872,,PJ,,,
SE,R_Oil,14530.9872,,PJ,,,
HU,R_Oil,1147.1832,,PJ,,,
RO,R_Oil,1147.1832,,PJ,,,
SK,R_Oil,1147.1832,,PJ,,,
UK,R_Gas,7536.24,,PJ,,,
NL,R_Gas,26376.84,,PJ,,,
PL,R_Gas,3768.12,,PJ,,,
HU,R_Gas,1256.04,,PJ,,,
RO,R_Gas,1256.04,,PJ,,,
SK,R_Gas,1256.04,,PJ,,,
FI,R_Gas,22608.72,,PJ,,,
SE,R_Gas,22608.72,,PJ,,,
NO,R_Gas,79199.208,,PJ,,,
TR,R_Coal_Lignite,138960.0,,PJ,,,
DE_BB,R_Coal_Lignite,20363.0,,PJ,,,
DE_NI,R_Coal_Lignite,3620.0,,PJ,,,
DE_NRW,R_Coal_Lignite,465000.0,,PJ,,,
DE_SN,R_Coal_Lignite,27600.0,,PJ,,,
DE_ST,R_Coal_Lignite,30000.0,,PJ,,,
