Technology,Value,,Unit,Source,Updated at,Updated by
A_Air,100,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
A_CCS_Capacity,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
A_Rooftop_Commercial,35,,Years,Energy Agency Denmark (2020) Rooftop Comm&industrial,17.10.2023,Dana Reulein <dana.reulein@sintef.no> <dana.reulein@sintef.no>
A_Rooftop_Residential,35,,Years,Energy Agency Denmark (2020) Rooftop Residential,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
CHP_Biomass,25,,Years,Energy Agency Denmark (2020) Biomass CHP,19.10.2023,Stian Backe <stian.backe@sintef.no>
CHP_Biomass_CCS,31,,Years,,,
CHP_Biomass_Solid,31,,Years,,,
CHP_Biomass_Solid_CCS,31,,Years,,,
CHP_Coal_Hardcoal,25,,Years,Energy Agency Denmark (2020) Coal CHP,19.10.2023,Stian Backe <stian.backe@sintef.no>
CHP_Coal_Hardcoal_CCS,31,,Years,,,
CHP_Coal_Lignite,25,,Years,Energy Agency Denmark (2020) Coal CHP,19.10.2023,Stian Backe <stian.backe@sintef.no>
CHP_Coal_Lignite_CCS,31,,Years,,,
CHP_Gas,30,,Years,,,
CHP_Gas_CCGT_Biogas,26,,Years,,,
CHP_Gas_CCGT_Biogas_CCS,26,,Years,,,
CHP_Gas_CCGT_Natural,26,,Years,,,
CHP_Gas_CCGT_Natural_CCS,26,,Years,,,
CHP_Gas_CCGT_SynGas,26,,Years,,,
CHP_Hydrogen_FuelCell,31,,Years,,,
CHP_Nuclear,41,,Years,,,
CHP_Oil,31,,Years,,,
D_Battery_Li-Ion,20,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_Battery_Redox,20,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_CAES,40,,Years,Energy Agency Denmark (2020)- Long Term Underground Storage in Caverns,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_Gas_H2,20,,Years,Energy Agency Denmark (2020)- Long Term Underground Storage in Caverns,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_Gas_Methane,50,,Years,,,
D_Heat_HLI,40,,Years,Energy Agency Denmark (2020)-Refers to Large hot water tank,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
HHT_Oil,21,,Years,,,
HHT_H2,21,,Years,,,
HHT_Geothermal,31,,Years,,,
HHT_Gas,31,,Years,,,
HHT_Coal_Hardcoal,31,,Years,,,
HHT_Coal_Lignite,31,,Years,,,
HHT_Electric_Furnace,31,,Years,,,
D_Heat_HLR,30,,Years,Energy Agency Denmark (2020)-Refers to Small hot water tank,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_Heat_HLDH,40,,Years,Energy Agency Denmark (2020)-Refers to Large hot water tank,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_Heat_HLB,30,,Years,Energy Agency Denmark (2020)-Refers to Small hot water tank,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_PHS,50,,Years,Energy Agency Denmark (2020)- PHS,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
D_PHS_Residual,50,,Years,Energy Agency Denmark (2020)- PHS,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
FRT_Rail_Conv,20,,Years,Zenith et al. (2019): https://doi.org/10.1177/0954409719867495,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Rail_Electric,20,,Years,Zenith et al. (2019): https://doi.org/10.1177/0954409719867495,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_BEV,13.8,,Years,Energy Agency Denmark (2024) BEV L1,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_H2,13.8,,Years,Energy Agency Denmark (2024) FCV L1,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_ICE,13.8,,Years,Energy Agency Denmark (2024) Diesel L1,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_ICE_Bio,21,,Years,,,
FRT_Road_LNG,13.8,,Years,Assumption: same as ICE,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_OH,6,,Years,Speth and Funke (2021): https://doi.org/10.3390/wevj12020067,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_PHEV,13.8,,Years,Assumption: same as ICE/BEV,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Road_PHEV_bio,26,,Years,,,
FRT_Ship_Bio,30,,Years,Energy Agency Denmark (2024) Container Methanol,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Ship_Conv,30,,Years,Energy Agency Denmark (2024) Container Diesel,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
FRT_Ship_LNG,30,,Years,Energy Agency Denmark (2024) Container Methanol,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_BF_BOF,40,,Years,IEA (2020): Iron and Steel Technology Roadmap,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_BF_BOF_CCS,40,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_Bio_BF_BOF,40,,Years,IEA (2020): Iron and Steel Technology Roadmap,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_DRI_EAF,25,,Years,Benavides et al. (2024): https://doi.org/10.1016/j.ijggc.2023.103963,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,25,,Years,Benavides et al. (2024): https://doi.org/10.1016/j.ijggc.2023.103963,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_H2DRI_EAF,25,,Years,Benavides et al. (2024): https://doi.org/10.1016/j.ijggc.2023.103963,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_Molten_Electrolysis,15,,Years,Assumed: Technology not commercialized yet,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HHI_Scrap_EAF,25,,Years,Assumption: Same as DRI_EAF,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Biomass,15,,Years,Energy Agency Denmark (2022) direct firing solids,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Convert_DH,100,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
HLI_Direct_Electric,12.5,,Years,Energy Agency Denmark (2022) direct firing electricity,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Fuelcell,20,,Years,Cigolotti et al. (2021): https://doi.org/10.3390/en14164963,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Gas_Boiler,25,,Years,Energy Agency Denmark (2022) Hot water boiler gas,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Geothermal,20,,Years,Energy Agency Denmark (2022) high temp hp,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_H2_Boiler,25,,Years,energy.nl technology factsheet: h2 industrial boiler,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Hardcoal,15,,Years,Energy Agency Denmark (2022) direct firing solids,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Lignite,15,,Years,Energy Agency Denmark (2022) direct firing solids,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Oil_Boiler,25,,Years,Energy Agency Denmark (2022) How water boiler oil,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLI_Solar_Thermal,25,,Years,Federal Ministry Republic of Austria (2023): Solar Heat World Wide,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Biomass,20,,Years,Energy Agency Denmark (2023) Wood stove,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Convert_DH,100,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
HLR_Direct_Electric,30,,Years,Energy Agency Denmark (2023) Electric heating,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Gas_Boiler,22.5,,Years,Energy Agency Denmark (2023) Gas boiler apartment / single (average),30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Geothermal,41,,Years,,,
HLR_H2_Boiler,15,,Years,Aunedi et al. (2023),30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Hardcoal,20,,Years,Assumption: Same as Biomass,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Heatpump_Aerial,18,,Years,Energy Agency Denmark (2023) HP air-water apartment / single (average),30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Heatpump_Ground,20,,Years,DEA – Technology data heating installations - Heat pump Ground-water - see Assumption.txt,13.12.2023,Frida Sæther <frida.sather@sintef.no>
HLR_Lignite,20,,Years,Assumption: Same as Biomass,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Oil_Boiler,20,,Years,Energy Agency Denmark (2023) Oil Boiler,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLR_Solar_Thermal,25,,Years,Federal Ministry Republic of Austria (2023): Solar Heat World Wide,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_Biomass,15,,Years,Energy Agency Denmark (2022) direct firing solids,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
