Region,Technology,Fuel,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
World,A_Air,Air,1,2018,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2020,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2025,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2030,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2035,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2040,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2045,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,Air,1,2050,1,,Unit,irrelevant - no efficiency for air,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,1,,Unit,irrelevant - no efficiency for areas,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2020,1,,Unit,irrelevant - no efficiency for areas,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2025,1,,Unit,irrelevant - no efficiency for areas,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Rooftop_Commercial,Area_Rooftop_Commercial,1,2030,1,,Unit,irrelevant - no efficiency for areas,06.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
