Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,Power,2030,1.0,,Fraction,https://commission.europa.eu/document/download/7702dbb6-8677-42ad-8578-56aa5dcdcc90_en?filename=NEKP_Aktualisierung_2023_2024_final_EN.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BE,Power,2030,0.485,,Fraction,https://commission.europa.eu/document/download/e0d758c6-a2e0-408f-9251-559801675f43_en?filename=SWD_Assessment_draft_updated_NECP_Belgium_2023_0.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BG,Power,2030,0.422,,Fraction,https://commission.europa.eu/document/download/7a3af142-cd29-49ce-955f-349479d278d3_en?filename=SWD_Assessment_draft_updated_NECP_%20Bulgaria_2024.pdf.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,Power,2030,0.375,,Fraction,https://commission.europa.eu/document/download/70364812-3095-4eda-9c6f-80c10fd40c0a_en?filename=SWD_Assessment_draft_updated_NECP_Czechia_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DE,Power,2030,0.8,,Fraction,https://commission.europa.eu/document/download/cd8ba2d6-1af6-4f37-aa07-059989bb1264_en?filename=GERMANY%E2%80%93FINAL_UPDATED_NECP_2021-2030_%28ENGLISH%29.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DK,Power,2030,1.0,,Fraction,https://commission.europa.eu/document/download/570f47f7-6005-4a47-b0b9-8a70e33c019b_en?filename=SWD_Assessment_draft_updated_NECP_Denmark_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
EE,Power,2030,1.0,,Fraction,https://commission.europa.eu/document/download/3f316507-b8b2-40dc-be15-f96bd72e94e1_en?filename=SWD_Assessment_draft_updated_NECP_Estonia_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ES,Power,2030,0.81,,Fraction,https://commission.europa.eu/document/download/06b6f436-b038-41a8-9062-6fef90e401d6_en?filename=SWD_Assessment_draft_updated_NECP_Spain_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FI,Power,2030,0.57,,Fraction,https://commission.europa.eu/document/download/099a815a-c0df-4cb6-97f1-daa39f63fb71_en?filename=SWD_Assessment_draft_updated_NECP_Finland_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FR,Power,2030,0.35,,Fraction,https://commission.europa.eu/document/download/08c3a6d0-fe0c-4acc-a828-7bde5b309577_en?filename=SWD_Assessment_draft_updated_NECP_France_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
GR,Power,2030,0.82,,Fraction,https://commission.europa.eu/document/download/fa776a38-49ae-4c79-9b05-c7763a4250ee_en?filename=SWD_Assessment_draft_updated_NECP_Greece_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HR,Power,2030,0.736,,Fraction,https://commission.europa.eu/document/download/b1857133-5619-4afb-a4e7-ffc419f5ea92_en?filename=SWD_Assessment_draft_updated_NECP_Croatia_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HU,Power,2030,0.31,,Fraction,https://commission.europa.eu/document/download/d18de697-79bd-4e07-b318-50ce4a32b641_en?filename=SWD_Assessment_draft_updated_NECP_Hungary_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IE,Power,2030,0.677,,Fraction,https://commission.europa.eu/document/download/90feae3c-b5c5-4301-b375-a8f26cf4ed81_en?filename=SWD_Assessment_draft_updated_NECP_Ireland_2023_0.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IT,Power,2030,0.65,,Fraction,https://commission.europa.eu/document/download/48b5cf3e-36b8-421e-b142-e5ff3b278c8d_en?filename=SWD_Assessment_draft_updated_NECP_Italy_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LT,Power,2030,1.0,,Fraction,https://commission.europa.eu/document/download/d84f1a9e-8e9f-43bc-b77d-43986f99b861_en?filename=SWD_Assessment_draft_updated_NECP_Lithuania_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LU,Power,2030,0.373,,Fraction,https://commission.europa.eu/document/download/fc6b2693-3204-4a6a-8d31-f676aa87682b_en?filename=SWD_Assessment_draft_updated_NECP_Luxembourg_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LV,Power,2030,0.63,,Fraction,https://commission.europa.eu/document/download/46341e64-4bdc-466b-b6c1-6cf41821b838_en?filename=SWD_Assessment_draft_updated_NECP_Latvia_2023_0.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NL,Power,2030,0.862,,Fraction,https://commission.europa.eu/document/download/1fecc161-a1ab-473d-81eb-d9ef616bc0b1_en?filename=SWD_Assessment_draft_updated_NECP_Netherlands.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PL,Power,2030,0.501,,Fraction,https://commission.europa.eu/document/download/87125ae9-14dc-4d3d-9952-b0f55f5db0a7_en?filename=SWD_Assessment_draft_updated_NECP_Poland_2024.pdf.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PT,Power,2030,0.85,,Fraction,https://commission.europa.eu/document/download/7ff8ab0f-a9ea-466b-99bf-904dc6b281b9_en?filename=SWD_Assessment_draft_updated_NECP_Portugal_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RO,Power,2030,0.558,,Fraction,https://commission.europa.eu/document/download/32433a1b-41e6-4afd-80bb-e720a9880b70_en?filename=SWD_Assessment_draft_updated_NECP_Romania_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SE,Power,2030,0.88,,Fraction,https://commission.europa.eu/document/download/5c97f5af-6a80-4919-ab14-31b790c5da7b_en?filename=SWD_Assessment_draft_updated_NECP_Sweden_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SI,Power,2030,0.523,,Fraction,https://commission.europa.eu/document/download/e2f0866b-994b-433b-8b13-3ffeec57f923_en?filename=SWD_Assessment_draft_updated_NECP_Slovenia_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SK,Power,2030,0.295,,Fraction,https://commission.europa.eu/document/download/70a86797-719b-472a-bb4c-88dbc4aaca28_en?filename=SWD_Assessment_draft_updated_NECP_Slovakia_2023.pdf,04.09.2024,Julian Bornemann <jb@wip.tu-berlin.de>
World,Power,All,0.0,,Fraction,,,
