Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,Power,2030,0,,Fraction,,,
BE,Power,2030,0,,Fraction,,,
BG,Power,2030,0,,Fraction,,,
CH,Power,2030,0,,Fraction,,,
CZ,Power,2030,0,,Fraction,,,
DE,Power,2030,0,,Fraction,,,
DK,Power,2030,0,,Fraction,,,
EE,Power,2030,0,,Fraction,,,
ES,Power,2030,0,,Fraction,,,
FI,Power,2030,0,,Fraction,,,
FR,Power,2030,0,,Fraction,,,
GR,Power,2030,0,,Fraction,,,
HR,Power,2030,0,,Fraction,,,
HU,Power,2030,0,,Fraction,,,
IE,Power,2030,0,,Fraction,,,
IT,Power,2030,0,,Fraction,,,
LT,Power,2030,0,,Fraction,,,
LU,Power,2030,0,,Fraction,,,
LV,Power,2030,0,,Fraction,,,
NL,Power,2030,0,,Fraction,,,
NO,Power,2030,0,,Fraction,,,
PL,Power,2030,0,,Fraction,,,
PT,Power,2030,0,,Fraction,,,
RO,Power,2030,0,,Fraction,,,
SE,Power,2030,0,,Fraction,,,
SI,Power,2030,0,,Fraction,,,
SK,Power,2030,0,,Fraction,,,
TR,Power,2030,0,,Fraction,,,
UK,Power,2030,0,,Fraction,,,
NONEU_Balkan,Power,2030,0,,Fraction,,,
