Technology,Year,Value,,Unit,Source,Updated at,Updated by
CHP_Biomass_Solid,All,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,All,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,All,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Biomass,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Direct_Electric,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Gas_Boiler,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_H2_Boiler,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Hardcoal,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Lignite,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Direct_Electric,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Gas_Boiler,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_H2_Boiler,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,All,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_Biomass,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_Gas,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_Gas_CCS,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_HardCoal,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_HardCoal_CCS,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_Oil,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HMHI_Steam_Electric,All,0.0,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,All,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,All,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,All,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_OCGT,All,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Hydro_Reservoir,All,0.25,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,All,0.01,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,All,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
