Technology,Year,Value,,Unit,Source,Updated at,Updated by
CHP_Biomass_Solid,2018,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid,2025,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid,2030,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid,2035,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid,2040,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid,2045,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid,2050,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2018,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2025,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2030,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2035,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2040,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2045,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,2050,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
