Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,CO2,2018,85.49,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2025,69.64,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2030,42.75,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2035,27.86,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2040,21.37,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2045,8.55,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2050,0.85,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2018,965.78,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2025,856.13,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2030,627.76,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2035,428.07,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2040,362.17,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2045,231.79,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2050,96.58,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2018,396.41,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2025,353.33,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2030,277.49,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2035,212,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2040,198.21,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2045,158.56,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2050,118.92,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2018,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2025,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2030,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2035,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2040,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2045,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2050,999,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2018,415.83,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2025,362.1,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2030,207.92,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2035,144.84,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2040,124.75,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2045,83.17,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2050,41.58,,Megatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
