Region,Technology,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,HB_Hardcoal,Heat_Buildings,2018,0.5681,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HB_Hardcoal,Heat_Buildings,2018,31.2075,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,HB_Hardcoal,Heat_Buildings,2018,2.3161,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,HB_Hardcoal,Heat_Buildings,2018,0,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,HB_Hardcoal,Heat_Buildings,2018,272.77445,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HB_Oil_Boiler,Heat_Buildings,2018,44.0002,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HB_Oil_Boiler,Heat_Buildings,2018,742.94655,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,HB_Oil_Boiler,Heat_Buildings,2018,319.32635,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,HB_Oil_Boiler,Heat_Buildings,2018,116.86045,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,HB_Oil_Boiler,Heat_Buildings,2018,39.87435,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,P_Biomass,Power,2018,29.57255,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,P_Coal_Hardcoal,Power,2018,40.3484,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Coal_Hardcoal,Power,2018,10.0852,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,P_Coal_Hardcoal,Power,2018,147.74742,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,P_Oil,Power,2018,37.61658,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,P_Coal_Hardcoal,Power,2018,265.71348,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,P_Coal_Lignite,Power,2018,180.6615,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,P_Oil,Power,2018,7.04805,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,P_Coal_Hardcoal,Power,2018,300.72854,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,P_Coal_Lignite,Power,2018,508.48218,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,P_Oil,Power,2018,14.23005,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,P_Nuclear,Power,2018,313.90812,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Oil,Power,2018,2.6125,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,P_Oil,Power,2018,56.11,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CHP_Coal_Hardcoal,Power,2018,49.932,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CHP_Coal_Lignite,Power,2018,13.68,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,HLI_Direct_Electric,Heat_Low_Industrial,2018,3.182595835,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HLI_Direct_Electric,Heat_Low_Industrial,2018,1.286127944,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HLI_Direct_Electric,Heat_Low_Industrial,2018,5.876825811,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,HLI_Direct_Electric,Heat_Low_Industrial,2018,4.186683109,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,HLI_Direct_Electric,Heat_Low_Industrial,2018,0.925910565,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HLI_Hardcoal,Heat_Low_Industrial,2018,1.620680461,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HLI_Hardcoal,Heat_Low_Industrial,2018,11.48042842,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,HLI_Hardcoal,Heat_Low_Industrial,2018,6.093472869,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,HLI_Hardcoal,Heat_Low_Industrial,2018,0.004909519,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,HLI_Hardcoal,Heat_Low_Industrial,2018,21.56670673,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HLI_Lignite,Heat_Low_Industrial,2018,0,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HLI_Lignite,Heat_Low_Industrial,2018,0.679702986,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,HLI_Lignite,Heat_Low_Industrial,2018,0,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,HLI_Lignite,Heat_Low_Industrial,2018,0,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,HLI_Lignite,Heat_Low_Industrial,2018,0.107906495,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HLI_Oil_Boiler,Heat_Low_Industrial,2018,8.272678549,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HLI_Oil_Boiler,Heat_Low_Industrial,2018,11.92026871,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,HLI_Oil_Boiler,Heat_Low_Industrial,2018,32.1099473,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,HLI_Oil_Boiler,Heat_Low_Industrial,2018,13.42212188,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,HLI_Oil_Boiler,Heat_Low_Industrial,2018,5.149769839,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
