Region,Technology,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,HB_Biomass,Heat_Buildings,2018,71.694,,PJ,,,
AT,HB_Direct_Electric,Heat_Buildings,2018,13.863,,PJ,,,
AT,HB_Hardcoal,Heat_Buildings,2018,2.794,,PJ,,,
AT,HB_Heatpump_Ground,Heat_Buildings,2018,0.361,,PJ,,,
AT,HB_Oil_Boiler,Heat_Buildings,2018,57.279,,PJ,,,
AT,PSNG_Road_BEV,Mobility_Passenger,2025,3.53466652,,Gpkm,Share from European Commission: European Alternative Fuels Observatory (Country Comparison) multiplied with SpecifiedAnnualDemand,27.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,PSNG_Road_PHEV,Mobility_Passenger,2025,1.24752936,,Gpkm,Share from European Commission: European Alternative Fuels Observatory (Country Comparison) multiplied with SpecifiedAnnualDemand,27.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,CHP_Biomass_Solid,Power,2018,13.941,,PJ,,,
AT,CHP_Coal_Hardcoal,Power,2018,2.597,,PJ,,,
AT,CHP_Gas_CCGT_Natural,Power,2018,13.123,,PJ,,,
AT,CHP_Oil,Power,2018,2.52,,PJ,,,
AT,P_Biomass,Power,2018,15.478,,PJ,,,
AT,P_Coal_Hardcoal,Power,2018,4.663,,PJ,,,
AT,P_Gas_CCGT,Power,2018,19.582,,PJ,,,
AT,P_Gas_Engines,Power,2018,0.995,,PJ,,,
AT,P_Gas_OCGT,Power,2018,2,,PJ,,,
BE,HB_Biomass,Heat_Buildings,2018,22.24,,PJ,,,
BE,HB_Direct_Electric,Heat_Buildings,2018,10.483,,PJ,,,
BE,HB_Hardcoal,Heat_Buildings,2018,6.291,,PJ,,,
BE,HB_Heatpump_Aerial,Heat_Buildings,2018,1.074,,PJ,,,
BE,HB_Heatpump_Ground,Heat_Buildings,2018,0.057,,PJ,,,
BE,HB_Oil_Boiler,Heat_Buildings,2018,121.225,,PJ,,,
BE,PSNG_Road_BEV,Mobility_Passenger,2025,3.454538,,Gpkm,Share from European Commission: European Alternative Fuels Observatory (Country Comparison) multiplied with SpecifiedAnnualDemand,27.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,PSNG_Road_PHEV,Mobility_Passenger,2025,5.6880755,,Gpkm,Share from European Commission: European Alternative Fuels Observatory (Country Comparison) multiplied with SpecifiedAnnualDemand,27.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,CHP_Biomass_Solid,Power,2018,7.651,,PJ,,,
BE,CHP_Coal_Hardcoal,Power,2018,0.573,,PJ,,,
BE,CHP_Gas_CCGT_Natural,Power,2018,27.237,,PJ,,,
BE,CHP_Oil,Power,2018,0.397,,PJ,,,
BE,P_Biomass,Power,2018,9.4317948,,PJ,Entsoe Transparency Platform - Actual Generation per Production Type,17.03.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Gas_CCGT,Power,2018,32.6153292,,PJ,Entsoe Transparency Platform - Actual Generation per Production Type,17.03.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Gas_OCGT,Power,2018,47.6763924,,PJ,Entsoe Transparency Platform - Actual Generation per Production Type,17.03.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Nuclear,Power,2018,98.1060228,,PJ,Entsoe Transparency Platform - Actual Generation per Production Type,17.03.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Oil,Power,2018,0.0158148,,PJ,Entsoe Transparency Platform - Actual Generation per Production Type,17.03.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,HB_Biomass,Heat_Buildings,2018,33.616,,PJ,,,
BG,HB_Direct_Electric,Heat_Buildings,2018,9.939,,PJ,,,
BG,HB_Hardcoal,Heat_Buildings,2018,11.86,,PJ,,,
BG,HB_Heatpump_Aerial,Heat_Buildings,2018,4.775,,PJ,,,
