Region,Emission,Value,,Unit,Source,Updated at,Updated by
AT,CO2,999999,,Megatonnes,Unlimited,08.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
BE,CO2,999999,,Megatonnes,Unlimited,09.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
BG,CO2,999999,,Megatonnes,Unlimited,10.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
CH,CO2,999999,,Megatonnes,Unlimited,11.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
CZ,CO2,999999,,Megatonnes,Unlimited,12.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
DE,CO2,999999,,Megatonnes,Unlimited,13.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
DK,CO2,999999,,Megatonnes,Unlimited,14.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
EE,CO2,999999,,Megatonnes,Unlimited,15.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
ES,CO2,999999,,Megatonnes,Unlimited,16.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
FI,CO2,999999,,Megatonnes,Unlimited,17.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
FR,CO2,999999,,Megatonnes,Unlimited,18.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
GR,CO2,999999,,Megatonnes,Unlimited,19.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
HR,CO2,999999,,Megatonnes,Unlimited,20.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
HU,CO2,999999,,Megatonnes,Unlimited,21.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
IE,CO2,999999,,Megatonnes,Unlimited,22.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
IT,CO2,999999,,Megatonnes,Unlimited,23.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
LT,CO2,999999,,Megatonnes,Unlimited,24.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
LU,CO2,999999,,Megatonnes,Unlimited,25.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
LV,CO2,999999,,Megatonnes,Unlimited,26.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
NL,CO2,999999,,Megatonnes,Unlimited,27.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
NO,CO2,999999,,Megatonnes,Unlimited,28.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
PL,CO2,999999,,Megatonnes,Unlimited,29.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
PT,CO2,999999,,Megatonnes,Unlimited,30.09.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
RO,CO2,999999,,Megatonnes,Unlimited,01.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
SE,CO2,999999,,Megatonnes,Unlimited,02.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
SI,CO2,999999,,Megatonnes,Unlimited,03.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
SK,CO2,999999,,Megatonnes,Unlimited,04.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
TR,CO2,999999,,Megatonnes,Unlimited,05.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
UK,CO2,999999,,Megatonnes,Unlimited,06.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
NONEU_Balkan,CO2,999999,,Megatonnes,Unlimited,07.10.2023,Konstantin Löffler  <kl@wip.tu-berlin.de>
