Region,Year,Value,,Unit,Source,Updated at,Updated by
DE_BB,2018,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2020,0.105,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2025,0.11,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2030,0.115,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2035,0.11,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2040,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2045,0.085,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2050,0.07,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,2055,0.07,,Ratio,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BB,2060,0.07,,Ratio,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BE,2018,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2020,0.105,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2025,0.11,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2030,0.115,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2035,0.11,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2040,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2045,0.085,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2050,0.07,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,2055,0.07,,Ratio,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BE,2060,0.07,,Ratio,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BW,2018,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2020,0.105,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2025,0.11,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2030,0.115,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2035,0.11,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2040,0.1,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2045,0.085,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BW,2050,0.07,,Ratio,assumption,07.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
