Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AL,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AT,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BA,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BE,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BG,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CH,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DE,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DK,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ES,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FI,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FR,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
GR,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HR,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HU,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IE,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IT,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LU,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ME,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
MK,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NL,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NO,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PL,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PT,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RO,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RS,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SE,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SI,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SK,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UK,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
EE,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LT,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LV,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UA,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RU,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BY,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NONEU_Balkan,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
TR,Power,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AL,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AT,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BA,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BE,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BG,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CH,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DE,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DK,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ES,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FI,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FR,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
GR,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HR,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HU,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IE,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IT,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LU,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ME,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
MK,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NL,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NO,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PL,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PT,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RO,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RS,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SE,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SI,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SK,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UK,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
EE,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LT,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LV,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UA,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RU,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BY,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NONEU_Balkan,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
TR,Power,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AL,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AT,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BA,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BE,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BG,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CH,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DE,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DK,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ES,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FI,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FR,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
GR,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HR,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HU,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IE,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IT,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LU,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ME,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
MK,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NL,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NO,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PL,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PT,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RO,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RS,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SE,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SI,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SK,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UK,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
EE,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LT,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LV,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UA,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RU,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BY,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NONEU_Balkan,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
TR,H2,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AL,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AT,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BA,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BE,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BG,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CH,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DE,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DK,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ES,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FI,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FR,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
GR,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HR,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HU,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IE,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IT,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LU,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ME,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
MK,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NL,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NO,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PL,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PT,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RO,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RS,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SE,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SI,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SK,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UK,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
EE,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LT,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LV,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
UA,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RU,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BY,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NONEU_Balkan,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
TR,H2,2021,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AL,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
AT,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BA,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BE,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
BG,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CH,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DE,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
DK,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ES,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FI,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
FR,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
GR,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HR,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
HU,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IE,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
IT,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
LU,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
ME,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
MK,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NL,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
NO,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PL,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
PT,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RO,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
RS,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
SE,Gas_Natural,2018,0.9,,Fraction,assumption,12.08.2024,Julian Bornemann <jb@wip.tu-berlin.de>
