Region,Value,,Unit,Source,Updated at,Updated by
AT,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
BE,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
BG,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
CH,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
CZ,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
DE,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
DK,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
EE,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
ES,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
FI,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
FR,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
GR,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
HR,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
HU,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
IE,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
IT,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
LT,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
LU,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
LV,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
NL,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
NO,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
PL,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
PT,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
RO,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
SE,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
SI,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
SK,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
TR,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
UK,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
NONEU_Balkan,0.05,,Percent,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
