Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,Power,2018,165.5884901,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2020,163.9326052,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2025,160.6703464,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2030,157.4569395,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2035,154.2917336,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2040,151.1740862,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2045,148.1033626,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Power,2050,145.0789361,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2018,68.02406177,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2020,73.15717604,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2025,77.04181946,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2030,77.50294294,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2035,78.00351168,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2040,79.23610981,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2045,80.97757527,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2050,83.427981,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2018,116.9214088,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2020,116.0923343,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2025,107.6150977,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2030,105.3079629,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2035,102.8433346,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2040,102.9167865,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2045,102.2138751,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2050,100.9703478,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2018,287.0012789,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2020,277.0951986,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2025,258.8637071,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2030,237.6034937,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2035,218.3999246,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2040,200.1632689,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2045,185.2149826,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Buildings,2050,173.0065988,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2018,100.1439017,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2020,98.60428587,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2025,97.5739271,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2030,96.81769062,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2035,93.59931618,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2040,89.94811871,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2045,86.93540944,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_Low_Industrial,2050,86.06389871,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_MediumLow_Industrial,2018,250.5909673,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_MediumLow_Industrial,2020,245.4490098,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_MediumLow_Industrial,2025,240.3624923,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_MediumLow_Industrial,2030,234.246911,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Heat_MediumLow_Industrial,2035,228.3912587,,PJ / billion km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
