Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,Cool_Low_Building,2018,0.31771446576251616,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2020,0.41670226782357345,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2025,0.5156900698846307,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2030,0.6146778719456881,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2035,0.7947589144118574,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2040,0.9748399568780267,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2045,1.2053020552167806,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Cool_Low_Building,2050,1.4357641535555343,,PJ,TYNDP 2022 Scenario Report - see asumption file for more info,2023-10-04 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Heat_High_Industrial,2018,67.58378683436038,,PJ,"TYNDP 2022 Scenario Report + Potential for steam regeneration in 
Norwegian industry + Eurostat - see asumption file for more info",2024-02-21 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Heat_High_Industrial,2020,65.8992237315309,,PJ,"TYNDP 2022 Scenario Report + Potential for steam regeneration in 
Norwegian industry + Eurostat - see asumption file for more info",2024-02-21 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Heat_High_Industrial,2025,64.21466062870141,,PJ,"TYNDP 2022 Scenario Report + Potential for steam regeneration in 
Norwegian industry + Eurostat - see asumption file for more info",2024-02-21 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Heat_High_Industrial,2030,62.530097525871916,,PJ,"TYNDP 2022 Scenario Report + Potential for steam regeneration in 
Norwegian industry + Eurostat - see asumption file for more info",2024-02-21 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Heat_High_Industrial,2035,60.851548602895896,,PJ,"TYNDP 2022 Scenario Report + Potential for steam regeneration in 
Norwegian industry + Eurostat - see asumption file for more info",2024-02-21 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
AT,Heat_High_Industrial,2040,59.17299967991986,,PJ,"TYNDP 2022 Scenario Report + Potential for steam regeneration in 
Norwegian industry + Eurostat - see asumption file for more info",2024-02-21 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
