Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
World,Heat_Buildings,2025,-0.01,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2025,-0.005714286,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2025,-0.005714286,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2025,-0.005714286,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2025,-0.005714286,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2025,0,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2025,0.017142857,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2025,-0.003571429,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2030,-0.011,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2030,-0.0044,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2030,-0.0044,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2030,-0.0044,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2030,-0.0044,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2030,0.003,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2030,0,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2030,-0.0055,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2035,-0.0106,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2035,-0.0039,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2035,-0.0039,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2035,-0.0039,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2035,-0.0039,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2035,0.003,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2035,-0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2035,-0.0053,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2040,-0.01,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2040,-0.0038,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2040,-0.0038,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2040,-0.0038,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2040,-0.0038,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2040,0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2040,-0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2040,-0.0051,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2045,-0.0096,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2045,-0.0037,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2045,-0.0037,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2045,-0.0037,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2045,-0.0037,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2045,0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2045,-0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2045,-0.0055,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2050,-0.009,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2050,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2050,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2050,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2050,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2050,0.001,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2050,-0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2050,-0.0055,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2055,-0.009,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2055,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2055,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2055,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2055,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2055,0.001,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2055,-0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2055,-0.0055,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2060,-0.009,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2060,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2060,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2060,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2060,-0.0036,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2060,0.001,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2060,-0.002,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Power,2060,-0.0055,,annual percentage change,scenario assumptions,30.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
