Technology,Storage,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
D_PHS,S_PHS,2,2018,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2020,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2025,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2030,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2035,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2040,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2045,0.866,,Fraction,Needs update,Needs update,Needs update
D_PHS,S_PHS,2,2050,0.866,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2018,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2020,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2025,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2030,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2035,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2040,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2045,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_H2,S_Gas_H2,2,2050,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2018,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2020,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2025,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2030,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2035,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2040,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2045,0.99,,Fraction,Needs update,Needs update,Needs update
D_Gas_Methane,S_Gas_Methane,2,2050,0.99,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2018,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2020,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2025,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2030,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2035,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2040,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2045,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2050,0.95,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2018,0.866,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2020,0.866,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2025,0.894,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2030,0.894,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2035,0.894,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2040,0.894,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2045,0.922,,Fraction,Needs update,Needs update,Needs update
D_Battery_Redox,S_Battery_Redox,2,2050,0.922,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2018,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2020,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2025,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2030,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2035,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2040,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2045,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HLI,S_Heat_HLI,2,2050,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2018,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2020,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2025,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2030,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2035,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2040,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2045,1.0,,Fraction,Needs update,Needs update,Needs update
D_Heat_HB,S_Heat_HB,2,2050,1.0,,Fraction,Needs update,Needs update,Needs update
D_CAES,S_CAES,2,2018,0.735,,Fraction,Needs update,Needs update,Needs update
