Technology,Storage,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
D_Gas_H2,S_Gas_H2,1,2018,0.98,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2020,0.98,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2025,0.981666667,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower- interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2030,0.983333333,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower- interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2035,0.985,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower- interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2040,0.986666667,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower- interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2045,0.988333333,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower- interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,1,2050,0.99,,Fraction,Energy Agency Denmark (2024): H2 caverns - lower,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2018,0.98,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2020,0.98,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2025,0.981666667,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2030,0.983333333,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2035,0.985,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2040,0.986666667,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2045,0.988333333,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,1,2050,0.99,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Li-Ion,S_Battery_Li-Ion,1,All,0.98,,Fraction,Energy Agency Denmark (2024): Lithium-Ion - lower,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,All,0.9,,Fraction,Viswanathan et al. (2022): Publication No: PNNL-33283- Assumption: 80% RTE- charge and discharge same,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,1,All,0.8,,Fraction,Energy Agency Denmark (2024): CAES - lower,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
