Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
DE,Z_Import_Gas,2018,2000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,Z_Import_Gas,2021,2000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,Z_Import_Gas,2025,2000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,Z_Import_Gas,All,1500,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2018,94.8708,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2021,325.229,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2025,632.374,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2030,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2035,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2040,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2045,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2050,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2055,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2060,474.2805,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,2018,450,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,2021,450,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,2025,450,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,All,337.5,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,Z_Import_Gas,2018,289.08,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,Z_Import_Gas,2021,289.08,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,Z_Import_Gas,2025,289.08,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
FI,Z_Import_Gas,All,216.81,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,Z_Import_Gas,2018,788.794,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,Z_Import_Gas,2021,788.794,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,Z_Import_Gas,2025,788.794,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
HU,Z_Import_Gas,All,591.5955,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,Z_Import_Gas,2018,1449,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,Z_Import_Gas,2021,1449,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,Z_Import_Gas,2025,1449,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
IT,Z_Import_Gas,All,1086.75,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LT,Z_Import_Gas,2018,426.393,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LT,Z_Import_Gas,2021,426.393,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LT,Z_Import_Gas,2025,426.393,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LT,Z_Import_Gas,All,319.79475,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LV,Z_Import_Gas,2018,262.8,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LV,Z_Import_Gas,2021,262.8,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LV,Z_Import_Gas,2025,262.8,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
LV,Z_Import_Gas,All,197.1,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,Z_Import_Gas,2018,1160.61,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
PL,Z_Import_Gas,2021,1160.61,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 75%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
