Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
DE,Z_Import_Gas,2018,2000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,Z_Import_Gas,2021,2000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,Z_Import_Gas,2025,2000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE,Z_Import_Gas,All,1000,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2018,94.8708,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2021,325.229,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2025,632.374,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2030,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2035,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2040,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2045,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2050,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2055,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
EE,Z_Import_Gas,2060,316.187,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,2018,450,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),29.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,2021,450,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),30.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,2025,450,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),31.01.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
ES,Z_Import_Gas,All,225,,PJ,entso-g 2021: pipeline connections to outside EU (slightly reduced from 2030: 50%),01.02.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
