Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,R_Wood,2018,4.58,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2020,5.08,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2025,4.84,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2030,4.59,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2035,4.42,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2040,4.24,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2045,4.12,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Wood,2050,4,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2018,42.78,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2020,47.43,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2025,45.13,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2030,42.82,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2035,41.21,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2040,39.6,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2045,38.47,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Roundwood,2050,37.34,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2018,85.57,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2020,94.86,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2025,90.26,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2030,85.65,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2035,82.42,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2040,79.2,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2045,76.94,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Residues,2050,74.68,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2018,6.11,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2020,6.78,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2025,6.45,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2030,6.12,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2035,5.89,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2040,5.66,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2045,5.5,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Paper_Cardboard,2050,5.33,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2018,12.22,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2020,13.55,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2025,12.89,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2030,12.24,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2035,11.77,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2040,11.31,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2045,10.99,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Grass,2050,10.67,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2018,1.53,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2020,1.69,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2025,1.61,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2030,1.53,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2035,1.47,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2040,1.41,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2045,1.37,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,R_Biogas,2050,1.33,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,R_Wood,2018,21.51,,PJ,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
