Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AL,P_CSP,All,0,,GW,,,
AT,D_PHS,2025,3.485,,GW,,,
AT,P_Biomass,2025,0.549,,GW,,,
AT,P_Gas_CCGT,2025,4.225,,GW,,,
AT,P_Hydro_Reservoir,2025,2.519,,GW,,,
AT,P_Hydro_RoR,2025,5.817,,GW,,,
AT,P_Oil,2025,0.125,,GW,,,
AT,P_PV_Utility_Avg,2025,7.294,,GW,,,
AT,P_Wind_Onshore_Avg,2025,4.021,,GW,,,
AT,Waste,2025,0.08,,GW,,,
BE,D_PHS,2025,1.308,,GW,,,
BE,P_Biomass,2025,0.731,,GW,,,
BE,P_Gas_CCGT,2025,6.995,,GW,,,
BE,P_Hydro_RoR,2025,0.186,,GW,,,
BE,P_Nuclear,2025,3.929,,GW,,,
BE,P_Oil,2025,0.452,,GW,,,
BE,P_PV_Utility_Avg,2025,8.789,,GW,,,
BE,P_Wind_Offshore_Transitional,2025,2.262,,GW,,,
BE,P_Wind_Onshore_Avg,2025,3.053,,GW,,,
BE,Waste,2025,0.384,,GW,,,
BG,D_PHS,2025,0.864,,GW,,,
BG,P_Biomass,2025,0.074,,GW,,,
BG,P_Coal_Hardcoal,2025,0.356,,GW,,,
BG,P_Coal_Lignite,2025,4.119,,GW,,,
BG,P_Gas_CCGT,2025,0.699,,GW,,,
BG,P_Hydro_Reservoir,2025,1.807,,GW,,,
BG,P_Hydro_RoR,2025,0.542,,GW,,,
BG,P_Nuclear,2025,2.08,,GW,,,
BG,P_PV_Utility_Avg,2025,4.055,,GW,,,
BG,P_Wind_Onshore_Avg,2025,0.705,,GW,,,
BG,Waste,2025,0.006,,GW,,,
CH,D_PHS,2025,6.697,,GW,,,
CH,P_Hydro_Reservoir,2025,5.772,,GW,,,
CH,P_Hydro_RoR,2025,0.635,,GW,,,
CH,P_Nuclear,2025,2.97,,GW,,,
CZ,D_PHS,2025,1.172,,GW,,,
CZ,Fossil Coal-derived gas,2025,0.38,,GW,,,
CZ,P_Biomass,2025,0.41,,GW,,,
CZ,P_Coal_Hardcoal,2025,1.2,,GW,,,
CZ,P_Coal_Lignite,2025,7.2,,GW,,,
CZ,P_Gas_CCGT,2025,1.24,,GW,,,
CZ,P_Hydro_Reservoir,2025,0.766,,GW,,,
CZ,P_Hydro_RoR,2025,0.34,,GW,,,
CZ,P_Nuclear,2025,4.04,,GW,,,
CZ,P_PV_Utility_Avg,2025,3.548,,GW,,,
CZ,P_Wind_Onshore_Avg,2025,0.342,,GW,,,
CZ,Waste,2025,0.1,,GW,,,
DE,D_PHS,2025,9.449,,GW,,,
DE,Fossil Coal-derived gas,2025,1.257,,GW,,,
DE,P_Biomass,2025,8.577,,GW,,,
DE,P_Coal_Hardcoal,2025,12.966,,GW,,,
DE,P_Coal_Lignite,2025,18.363,,GW,,,
DE,P_Gas_CCGT,2025,36.255,,GW,,,
DE,P_Geothermal,All,0.054,,GW,,,
DE,P_Hydro_Reservoir,2025,1.381,,GW,,,
DE,P_Hydro_RoR,2025,3.731,,GW,,,
DE,P_Oil,2025,4.118,,GW,,,
DE,P_PV_Utility_Avg,2025,76.601,,GW,,,
DE,P_Wind_Offshore_Transitional,2025,8.456,,GW,,,
DE,P_Wind_Onshore_Avg,2025,59.841,,GW,,,
DE,Waste,2025,1.808,,GW,,,
DK,P_PV_Utility_Avg,2025,3.73,,GW,,,
DK,P_Wind_Offshore_Transitional,2025,2.646,,GW,,,
DK,P_Wind_Onshore_Avg,2025,4.86,,GW,,,
EE,Fossil Coal-derived gas,2025,0.078,,GW,,,
EE,P_Biomass,2025,0.15,,GW,,,
EE,P_Gas_CCGT,2025,0.015,,GW,,,
EE,P_Hydro_RoR,2025,0.008,,GW,,,
EE,P_Oil,2025,1.33,,GW,,,
EE,P_PV_Utility_Avg,2025,0.812,,GW,,,
EE,P_Wind_Onshore_Avg,2025,0.447,,GW,,,
EE,Waste,2025,0.017,,GW,,,
ES,D_PHS,2025,3.418,,GW,,,
ES,P_Biomass,2025,0.708,,GW,,,
ES,P_Coal_Hardcoal,2025,3.223,,GW,,,
ES,P_Gas_CCGT,2025,29.873,,GW,,,
ES,P_Hydro_Reservoir,2025,15.771,,GW,,,
ES,P_Hydro_RoR,2025,1.155,,GW,,,
ES,P_Nuclear,2025,7.117,,GW,,,
ES,P_Oil,2025,0.704,,GW,,,
ES,P_PV_Utility_Avg,2025,23.867,,GW,,,
ES,P_Wind_Onshore_Avg,2025,30.159,,GW,,,
ES,Waste,2025,0.546,,GW,,,
FI,Fossil Peat,2025,1.044,,GW,,,
FI,P_Biomass,2025,1.695,,GW,,,
FI,P_Coal_Hardcoal,2025,1.41,,GW,,,
FI,P_Gas_CCGT,2025,1.742,,GW,,,
FI,P_Hydro_RoR,2025,3.173,,GW,,,
FI,P_Nuclear,2025,4.364,,GW,,,
FI,P_Oil,2025,1.051,,GW,,,
FI,P_PV_Utility_Avg,2025,0.027,,GW,,,
FI,P_Wind_Onshore_Avg,2025,6.618,,GW,,,
