Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,A_Rooftop_Commercial,All,49.6249,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,A_Rooftop_Pidential,All,53.4626,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,D_PHS,All,13,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HLI_Solar_Thermal,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,HLR_Solar_Thermal,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_CSP,All,8,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Hydro_Reservoir,All,7.8182,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Hydro_RoR,All,10.1998,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_PV_Rooftop_Commercial,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_PV_Rooftop_Pidential,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_PV_Utility_Avg,All,13.0418,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_PV_Utility_Inf,All,13,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_PV_Utility_Opt,All,13,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Offshore_Deep,All,18,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Offshore_Shallow,All,18,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Offshore_Transitional,All,18,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Onshore_Avg,All,20,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Onshore_Avg,All,20,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Onshore_Inf,All,20,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,P_Wind_Onshore_Opt,All,20,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,A_Air,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,A_CCS_Capacity,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,A_Rooftop_Commercial,All,340.5761,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,A_Rooftop_Pidential,All,366.9149,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,D_PHS,All,0,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,HLI_Solar_Thermal,All,999999,,GW,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
