Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AL,A_Rooftop_Commercial,All,13.21199195,,GW,,,
AL,A_Rooftop_Residential,All,14.23375502,,GW,,,
AL,D_PHS,All,1.375,,GW,,,
AL,HB_Solar_Thermal,All,999999.0,,GW,,,
AL,HLI_Solar_Thermal,All,999999.0,,GW,,,
AL,P_CSP,All,0.0,,GW,,,
AL,P_Hydro_RoR,2018,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2021,1.492,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2025,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2030,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2035,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2040,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2045,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2050,1.492,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2055,1.492,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Hydro_RoR,2060,1.492,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_PV_Rooftop_Commercial,All,999999.0,,GW,,,
AL,P_PV_Rooftop_Residential,All,999999.0,,GW,,,
AL,P_PV_Utility_Avg,All,3.368790533,,GW,,,
AL,P_PV_Utility_Inf,All,3.368790533,,GW,,,
AL,P_PV_Utility_Opt,All,3.368790533,,GW,,,
AL,P_Wind_Offshore_Deep,All,0.213316485,,GW,,,
AL,P_Wind_Offshore_Shallow,All,0.213316485,,GW,,,
AL,P_Wind_Offshore_Transitional,All,0.213316485,,GW,,,
AL,P_Wind_Onshore_Avg,All,5.421458599,,GW,,,
AL,P_Wind_Onshore_Inf,All,5.421458599,,GW,,,
AL,P_Wind_Onshore_Opt,All,5.421458599,,GW,,,
AT,A_Rooftop_Commercial,All,49.62485393,,GW,,,
AT,A_Rooftop_Residential,All,53.46264338,,GW,,,
AT,D_PHS,All,13.25,,GW,,,
AT,HB_Solar_Thermal,All,999999.0,,GW,,,
AT,HLI_Solar_Thermal,All,999999.0,,GW,,,
AT,P_CSP,All,8.19,,GW,,,
AT,P_Hydro_Reservoir,2018,2.985,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2020,2.436,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2021,2.752,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2025,2.519,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2030,2.519,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2035,2.519,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2040,2.519,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2045,2.519,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2050,2.519,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2055,2.519,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_Reservoir,2060,2.519,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2018,5.605,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2020,5.724,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2021,5.711,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2025,5.817,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2030,5.817,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2035,5.817,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2040,5.817,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2045,5.817,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2050,5.817,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2055,5.817,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_Hydro_RoR,2060,5.817,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,P_PV_Rooftop_Commercial,All,999999.0,,GW,,,
AT,P_PV_Rooftop_Residential,All,999999.0,,GW,,,
AT,P_PV_Utility_Avg,All,13.04177943,,GW,,,
AT,P_PV_Utility_Inf,All,13.04177943,,GW,,,
AT,P_PV_Utility_Opt,All,13.04177943,,GW,,,
AT,P_PV_Utility_Tracking,All,13.04177943,,GW,,,
AT,P_Wind_Offshore_Deep,All,0.0,,GW,,,
AT,P_Wind_Offshore_Shallow,All,0.0,,GW,,,
AT,P_Wind_Offshore_Transitional,All,0.0,,GW,,,
AT,P_Wind_Onshore_Avg,All,19.84666667,,GW,,,
AT,P_Wind_Onshore_Inf,All,19.84666667,,GW,,,
AT,P_Wind_Onshore_Opt,All,19.84666667,,GW,,,
BA,A_Rooftop_Commercial,All,21.28009358,,GW,,,
BA,A_Rooftop_Residential,All,22.92581164,,GW,,,
BA,D_PHS,All,0.0,,GW,,,
BA,HB_Solar_Thermal,All,999999.0,,GW,,,
BA,HLI_Solar_Thermal,All,999999.0,,GW,,,
BA,P_CSP,All,3.732857143,,GW,,,
BA,P_PV_Rooftop_Commercial,All,999999.0,,GW,,,
BA,P_PV_Rooftop_Residential,All,999999.0,,GW,,,
BA,P_PV_Utility_Avg,All,5.425993149,,GW,,,
BA,P_PV_Utility_Inf,All,5.425993149,,GW,,,
BA,P_PV_Utility_Opt,All,5.425993149,,GW,,,
BA,P_Wind_Offshore_Deep,All,0.343581406,,GW,,,
BA,P_Wind_Offshore_Shallow,All,0.343581406,,GW,,,
BA,P_Wind_Offshore_Transitional,All,0.343581406,,GW,,,
BA,P_Wind_Onshore_Avg,All,8.732153849,,GW,,,
BA,P_Wind_Onshore_Inf,All,8.732153849,,GW,,,
BA,P_Wind_Onshore_Opt,All,8.732153849,,GW,,,
BE,A_Rooftop_Commercial,All,36.3688998,,GW,,,
BE,A_Rooftop_Residential,All,39.18152631,,GW,,,
BE,D_PHS,All,0.625,,GW,,,
BE,HB_Solar_Thermal,All,999999.0,,GW,,,
BE,HLI_Solar_Thermal,All,999999.0,,GW,,,
BE,P_CSP,All,3.51,,GW,,,
BE,P_Hydro_Reservoir,2018,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2020,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2021,0.0,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2025,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2030,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2035,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2040,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2045,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2050,0.0,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2055,0.0,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_Reservoir,2060,0.0,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2018,0.171,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2020,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2021,0.14508333350000002,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2025,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2030,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2035,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2040,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2045,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2050,0.119166667,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2055,0.119166667,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_Hydro_RoR,2060,0.119166667,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,P_PV_Rooftop_Commercial,All,999999.0,,GW,,,
BE,P_PV_Rooftop_Residential,All,999999.0,,GW,,,
BE,P_PV_Utility_Avg,All,12.64234829,,GW,,,
BE,P_PV_Utility_Inf,All,12.64234829,,GW,,,
BE,P_PV_Utility_Opt,All,12.64234829,,GW,,,
BE,P_PV_Utility_Tracking,All,12.64234829,,GW,,,
BE,P_Wind_Offshore_Deep,All,3.943333333,,GW,,,
BE,P_Wind_Offshore_Shallow,All,3.943333333,,GW,,,
BE,P_Wind_Offshore_Transitional,All,3.943333333,,GW,,,
BE,P_Wind_Onshore_Avg,All,7.67,,GW,,,
BE,P_Wind_Onshore_Inf,All,7.67,,GW,,,
BE,P_Wind_Onshore_Opt,All,7.67,,GW,,,
BG,A_Rooftop_Commercial,All,67.29945944,,GW,,,
BG,A_Rooftop_Residential,All,72.5041328,,GW,,,
BG,D_PHS,All,0.0,,GW,,,
BG,HB_Solar_Thermal,All,999999.0,,GW,,,
BG,HLI_Solar_Thermal,All,999999.0,,GW,,,
BG,P_CSP,All,13.13,,GW,,,
BG,P_Hydro_Reservoir,2018,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2020,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2021,1.81,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2025,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2030,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2035,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2040,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2045,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2050,1.81,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2055,1.81,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_Reservoir,2060,1.81,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2018,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2020,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2021,0.534,,GW,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2025,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2030,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2035,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2040,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2045,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2050,0.534,,GW,same as ResidualCapacity,21.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2055,0.534,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_Hydro_RoR,2060,0.534,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,P_PV_Rooftop_Commercial,All,999999.0,,GW,,,
BG,P_PV_Rooftop_Residential,All,999999.0,,GW,,,
BG,P_PV_Utility_Avg,All,7.30912474,,GW,,,
BG,P_PV_Utility_Inf,All,7.30912474,,GW,,,
BG,P_PV_Utility_Opt,All,7.30912474,,GW,,,
BG,P_PV_Utility_Tracking,All,7.30912474,,GW,,,
BG,P_Wind_Offshore_Deep,All,5.026666667,,GW,,,
BG,P_Wind_Offshore_Shallow,All,5.026666667,,GW,,,
BG,P_Wind_Offshore_Transitional,All,5.026666667,,GW,,,
BG,P_Wind_Onshore_Avg,All,29.68333333,,GW,,,
BG,P_Wind_Onshore_Inf,All,29.68333333,,GW,,,
BG,P_Wind_Onshore_Opt,All,29.68333333,,GW,,,
BY,A_Rooftop_Commercial,All,0.0,,GW,,,
BY,A_Rooftop_Residential,All,0.0,,GW,,,
BY,D_PHS,All,0.0,,GW,,,
BY,HB_Solar_Thermal,All,999999.0,,GW,,,
BY,HLI_Solar_Thermal,All,999999.0,,GW,,,
BY,P_CSP,All,0.0,,GW,,,
BY,P_PV_Rooftop_Commercial,All,999999.0,,GW,,,
BY,P_PV_Rooftop_Residential,All,999999.0,,GW,,,
BY,P_PV_Utility_Avg,All,0.0,,GW,,,
BY,P_PV_Utility_Inf,All,0.0,,GW,,,
