Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
NO,X_Electrolysis,2030,4,,PJ,partner feedback IFE,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
NO,X_Electrolysis,2050,216,,PJ,partner feedback IFE,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,X_Electrolysis,2030,45,,PJ,partner feedback LTU,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,X_Electrolysis,2050,234,,PJ,partner feedback LTU,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2030,3.7583,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2035,24.8392,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2040,51.6431,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2045,97.9006,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2050,159.3065,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,X_Electrolysis,2060,83.3333,,PJ,partner feedback KHAS,28.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
