Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
NO,X_Electrolysis,2030,5.14,,PJ,partner feedback IFE,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
NO,X_Electrolysis,2050,273.6,,PJ,partner feedback IFE,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,X_Electrolysis,2030,1.8,,PJ,partner feedback LTU,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
SE,X_Electrolysis,2050,75.6,,PJ,partner feedback LTU,22.07.2027,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2030,3.7583,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2035,14.9889,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2040,28.5169,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2045,62.4427,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
GR,X_Electrolysis,2050,97.3822,,PJ,partner feedback E3M,17.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
TR,X_Electrolysis,2060,83.3333,,PJ,partner feedback KHAS,28.08.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
