Region,Region.1,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,DolAmroth,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Gondor,Power,All,2,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Rohan,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Harad,Power,All,0.071,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mordor,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,DolAmroth,Power,All,2.2,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Gondor,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Rohan,Power,All,1.675,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Harad,Power,All,0.866,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mordor,Power,All,0.1,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,DolAmroth,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Gondor,Power,All,1.8,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Rohan,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Harad,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mordor,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,DolAmroth,Power,All,0.1,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Gondor,Power,All,1.16,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Rohan,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Harad,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mordor,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,DolAmroth,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Gondor,Power,All,0.225,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Rohan,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Harad,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mordor,Power,All,0,,GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,DolAmroth,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Gondor,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Rohan,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Harad,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mordor,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,DolAmroth,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Gondor,Gas_Natural,All,568.6889083,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Rohan,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Harad,Gas_Natural,All,1633.041966,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mordor,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,DolAmroth,Gas_Natural,All,517.0417972,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Gondor,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Rohan,Gas_Natural,All,823.3576743,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Harad,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mordor,Gas_Natural,All,303.9189946,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,DolAmroth,Gas_Natural,All,1633.041966,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Gondor,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Rohan,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Harad,Gas_Natural,All,0,,PJ/a,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
