Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
DolAmroth,DolAmroth,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Gondor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Rohan,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Harad,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mordor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Gondor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Rohan,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Harad,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mordor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Rohan,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Harad,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mordor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Harad,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mordor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mordor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,DolAmroth,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,DolAmroth,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,DolAmroth,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,DolAmroth,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,DolAmroth,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Gondor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Gondor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Gondor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Gondor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Rohan,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Rohan,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Rohan,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Harad,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Harad,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mordor,Power,2.15,,M€/GW,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
