Fuel,Year,Value,,Unit,Source,Updated at,Updated by
Hardcoal,All,0.00034286,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Transport/technology_data_for_commercial_freight_and_passenger_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Biomass,All,0.00053333,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Transport/technology_data_for_commercial_freight_and_passenger_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Oil,All,0.00566667,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
H2,All,0.00001598,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LH2,All,0.01049296,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LSG,All,0.00566667,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LNG,All,0.00566667,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
LBG,All,0.00566667,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Powerfuel,All,0.00566667,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Biofuel,All,0.00566667,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas_Natural,All,0.00001183,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas_Bio,All,0.00001183,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas_Synth,All,0.00001183,,M€/PJ/km,https://ens.dk/sites/ens.dk/files/Analyser/technology_data_for_energy_transport.pdf,20.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
