Fuel,Region,Region2,Value,,Unit,Source,Updated at,Updated by
Distance,AT,FR,1462.503697,,M€/PJ,,,
Distance,BE,FR,1099.023076,,M€/PJ,,,
Distance,BG,FR,0.0,,M€/PJ,,,
Distance,CH,FR,1014.343945,,M€/PJ,,,
Distance,CZ,FR,1630.331431,,M€/PJ,,,
Distance,DE,FR,1410.754391,,M€/PJ,,,
Distance,DK,FR,1789.50848,,M€/PJ,,,
Distance,EE,FR,0.0,,M€/PJ,,,
Distance,ES,FR,229.590305,,M€/PJ,,,
Distance,FI,FR,0.0,,M€/PJ,,,
Distance,FR,FR,0.0,,M€/PJ,,,
Distance,GR,FR,2201.086829,,M€/PJ,,,
Distance,HR,FR,1577.989316,,M€/PJ,,,
Distance,HU,FR,1838.388231,,M€/PJ,,,
Distance,IE,FR,1284.486298,,M€/PJ,,,
Distance,IT,FR,1223.641217,,M€/PJ,,,
Distance,LT,FR,0.0,,M€/PJ,,,
Distance,LU,FR,1087.048748,,M€/PJ,,,
Distance,LV,FR,0.0,,M€/PJ,,,
Distance,NL,FR,1285.661282,,M€/PJ,,,
Distance,NO,FR,2702.360622,,M€/PJ,,,
Distance,NONEU_Balkan,FR,1809.093866,,M€/PJ,,,
Distance,PL,FR,2000.602109,,M€/PJ,,,
Distance,PT,FR,560.6100802,,M€/PJ,,,
Distance,RO,FR,2252.616047,,M€/PJ,,,
Distance,SE,FR,2623.548659,,M€/PJ,,,
Distance,SI,FR,1472.138648,,M€/PJ,,,
Distance,SK,FR,1879.07717,,M€/PJ,,,
Distance,TR,FR,0.0,,M€/PJ,,,
Distance,UK,FR,600.0,,M€/PJ,,,
Hardcoal,AT,FR,0.475237661,,M€/PJ,,,
Hardcoal,BE,FR,0.460139458,,M€/PJ,,,
Hardcoal,BG,FR,0.0,,M€/PJ,,,
Hardcoal,CH,FR,0.456622069,,M€/PJ,,,
Hardcoal,CZ,FR,0.482208864,,M€/PJ,,,
Hardcoal,DE,FR,0.473088106,,M€/PJ,,,
Hardcoal,DK,FR,0.488820737,,M€/PJ,,,
Hardcoal,EE,FR,0.0,,M€/PJ,,,
