Region,Region.1,Fuel,Value,,Unit,Source,Updated at,Updated by
DolAmroth,Rohan,All,1462.503697,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Gondor,All,477.0367025,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Harad,All,557.6925866,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mordor,All,630.3583447,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Rohan,All,1410.754391,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Harad,All,934.1527089,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mordor,All,633.8734484,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Harad,All,1000,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mordor,All,2000.602109,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mordor,All,1174.662926,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,DolAmroth,All,1462.503697,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,DolAmroth,All,477.0367025,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,DolAmroth,All,557.6925866,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,DolAmroth,All,630.3583447,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Gondor,All,1410.754391,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Gondor,All,934.1527089,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Gondor,All,633.8734484,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Rohan,All,1000,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Rohan,All,2000.602109,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Harad,All,1174.662926,,km,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
