Region,Technology,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
World,X_Biofuel,1,2021,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Biofuel,1,2025,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Biofuel,1,2030,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Biofuel,1,2035,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Biofuel,1,2040,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Biofuel,1,2045,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Biofuel,1,2050,2.756111112,,MEUR/PJ,HVO / renwable diesel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Powerfuel,1,2021,2.761886112,,MEUR/PJ,Power to Jet Fuel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Powerfuel,1,2025,2.242001666,,MEUR/PJ,Power to Jet Fuel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Powerfuel,1,2030,1.722117222,,MEUR/PJ,Power to Jet Fuel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Powerfuel,1,2035,1.380943056,,MEUR/PJ,Power to Jet Fuel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Powerfuel,1,2040,1.039768888,,MEUR/PJ,Power to Jet Fuel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,X_Powerfuel,1,2045,0.861058612,,MEUR/PJ,Power to Jet Fuel (upper)- https://ens.dk/en/our-services/technology-catalogues/technology-data-renewable-fuels,18.11.2024,Alena Diesing <ad@wip.tu-berlin.de>
