Region,Technology,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
DE,A_Air,1,2018,0.5,,MEUR/PJ,,,
DE,A_Air,1,2020,0.425,,MEUR/PJ,,,
DE,A_Air,1,2025,0.425,,MEUR/PJ,,,
DE,A_Air,1,2030,0.425,,MEUR/PJ,,,
DE,A_Air,1,2035,0.425,,MEUR/PJ,,,
DE,A_Air,1,2040,0.425,,MEUR/PJ,,,
DE,A_Air,1,2045,0.425,,MEUR/PJ,,,
DE,A_Air,1,2050,0.425,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2018,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2020,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2025,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2030,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2035,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2040,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2045,0.01,,MEUR/PJ,,,
World,CHP_Coal_Hardcoal,1,2050,0.01,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2018,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2020,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2025,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2030,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2035,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2040,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2045,0,,MEUR/PJ,,,
World,CHP_Coal_Lignite,1,2050,0,,MEUR/PJ,,,
World,D_Battery_Li-Ion,1,2018,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2020,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2025,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2030,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2035,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2040,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2045,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Li-Ion,1,2050,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2018,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2020,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2025,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2030,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2035,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2040,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2045,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_Battery_Redox,1,2050,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2018,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2020,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2025,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2030,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2035,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2040,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2045,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
World,D_CAES,1,2050,0.01,,MEUR/PJ,"Marginal number for numerical stability, no source required",08.08.2024,Konstantin Loffler <kl@wip.tu-berlin.de>
