Source: ERA5 reanalysis data using Atlite; 19.04.2024; Konstantin Loeffler <kl@wip.tu-berlin.de>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,1.850449492,2.654309567,1.813481903,1.969611381,1.877792134
2,1.861259544,2.73087619,1.824685168,2.114930106,1.885731277
3,1.911006812,2.743637293,1.876963717,2.26024883,1.921794561
4,1.932626915,2.769159501,1.899370246,2.405567555,1.937672846
5,1.943436967,2.794681708,1.91057351,2.550886279,1.945611989
6,1.982374184,2.845726123,1.951648795,2.638430174,1.97373613
7,1.993184236,2.884009434,1.962852059,2.72597407,1.981675273
8,2.016297556,2.960576056,1.987921247,2.785443173,1.998641112
9,2.377664542,3.203037026,2.425129884,3.92360818,2.316272074
10,2.278170005,3.139231508,2.320572784,3.741881352,2.244145506
11,2.110828723,2.998859367,2.143470782,3.378427697,2.122208974
12,1.911839649,2.807442812,1.934356582,2.671575555,1.977955839
13,1.693468194,2.552220738,1.706031046,2.01590639,1.820826067
14,1.572311491,2.501176323,1.5737421,1.518231985,1.730646106
15,1.497171117,2.475654116,1.491591528,1.274087021,1.674397824
16,1.485326329,2.462893012,1.47346535,1.144548899,1.662782749
17,1.603959284,2.62878736,1.605754296,1.04147081,1.75296271
18,1.318287897,2.424609701,1.244295801,0.40083778,1.486860047
19,1.413702376,2.462893012,1.348852901,0.559318365,1.558986615
20,1.510042229,2.526698531,1.45341,0.727747895,1.631113182
21,1.609536766,2.603265153,1.5579671,0.992264341,1.70323975
22,1.644170994,2.641548464,1.595304615,1.246825725,1.727731462
23,1.749461737,2.641548464,1.706262145,1.519558395,1.804578013
24,1.811512275,2.654309567,1.772406618,1.738509444,1.849667993
25,1.850449492,2.654309567,1.813481903,1.969611381,1.877792134
26,1.861259544,2.705353982,1.824685168,2.114930106,1.885731277
27,1.911006812,2.705353982,1.876963717,2.26024883,1.921794561
28,1.932626915,2.718115086,1.899370246,2.405567555,1.937672846
29,1.943436967,2.654309567,1.91057351,2.550886279,1.945611989
30,1.982374184,2.577742945,1.951648795,2.638430174,1.97373613
31,1.993184236,2.501176323,1.962852059,2.72597407,1.981675273
32,2.016297556,2.513937427,1.987921247,2.785443173,1.998641112
33,2.377664542,2.692592879,2.425129884,3.92360818,2.316272074
34,2.278170005,2.641548464,2.320572784,3.741881352,2.244145506
35,2.110828723,2.616026256,2.143470782,3.378427697,2.122208974
36,1.911839649,2.552220738,1.934356582,2.671575555,1.977955839
37,1.693468194,2.48841522,1.706031046,2.01590639,1.820826067
38,1.572311491,2.437370805,1.5737421,1.518231985,1.730646106
39,1.497171117,2.38632639,1.491591528,1.274087021,1.674397824
40,1.485326329,2.335281975,1.47346535,1.144548899,1.662782749
41,1.603959284,2.296998664,1.605754296,1.04147081,1.75296271
42,1.318287897,2.029015487,1.244295801,0.40083778,1.486860047
43,1.413702376,2.029015487,1.348852901,0.559318365,1.558986615
44,1.510042229,2.003493279,1.45341,0.727747895,1.631113182
45,1.609536766,2.029015487,1.5579671,0.992264341,1.70323975
46,1.644170994,2.04177659,1.595304615,1.246825725,1.727731462
47,1.749461737,2.04177659,1.706262145,1.519558395,1.804578013
