Source: ERA5; 22.01.2025; Unit: Deviation from mean; Konstantin Loffler <kl@wip.tu-berlin.de>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.581565032,0.4,0.40369483,0.561763058,0.4
2,0.53877919,0.4,0.4,0.556554591,0.4
3,0.495484687,0.4,0.4,0.557457983,0.4
4,0.493721718,0.4,0.4,0.557558369,0.4
5,0.507879331,0.4,0.4,0.556805068,0.4
6,0.545487831,0.4,0.4,0.865591825,0.4
7,0.594581021,0.4,0.4,0.864140459,0.4
8,0.620586387,0.4,0.4,0.861490686,0.4
9,0.622131936,0.4,0.4,0.857666347,0.4
10,0.623063762,0.4,0.4,0.852228195,0.4
11,0.623841953,0.4,0.4,0.852228195,0.4
12,0.626974254,0.4,0.4,0.851993082,0.4
13,0.639170448,0.4,0.4,0.836771835,0.4
14,0.651170438,0.582140478,0.4,0.797895111,0.4
15,0.662925186,0.580010658,0.4,0.724241362,0.4
16,0.672023457,0.578458164,0.4,0.676235948,0.4
17,0.675842253,0.57733494,0.523523624,0.638258057,0.4
18,0.667889328,0.573160005,0.481633225,0.613798478,0.4
19,0.651340441,0.567958017,0.442732553,0.633808747,0.4
20,0.624465747,0.56191833,0.40222464,0.664319331,0.4
21,0.594722757,0.556135576,0.4,0.709285092,0.4
22,0.595715711,0.548439218,0.4,0.750438332,0.4
23,0.595715711,0.541199451,0.4,0.7609684,0.4
24,0.595289649,0.53235497,0.4,0.768154171,0.4
25,0.638162306,0.4,0.4,0.534021639,0.4
26,0.581948059,0.4,0.4,0.507042792,0.4
27,0.535524733,0.4,0.4,0.488243019,0.4
28,0.5233475,0.4,0.4,0.477203332,0.4
29,0.533123634,0.4,0.4,0.463208234,0.4
30,0.574716149,0.4,0.4,1,0.4
31,0.635402205,0.4,0.4,1,0.4
32,0.671269674,0.4,0.4,1,0.4
33,0.674533722,0.4,0.4,1,0.4
34,0.668395009,0.4,0.4,0.995214223,0.4
35,0.660091915,0.4,0.4,0.942134785,0.4
36,0.654898144,0.4,0.4,0.897545337,0.4
37,0.660091915,0.4,0.4,0.853909023,0.4
38,0.665190413,0.52420996,0.4,0.806879478,0.4
39,0.667858691,0.531118183,0.4,0.73372046,0.4
40,0.669649468,0.533740722,0.4,0.680349727,0.4
41,0.672172564,0.537116644,0.547274619,0.646080448,0.4
42,0.665367363,0.539309656,0.479711579,0.636043879,0.4
43,0.65165111,0.540535543,0.426749519,0.655047907,0.4
44,0.620714725,0.544870385,0.4,0.689762012,0.4
45,0.572476623,0.549656262,0.4,0.74991775,0.4
46,0.525273938,0.551057818,0.4,0.819283214,0.4
47,0.52051141,0.551441242,0.4,0.836803149,0.4
48,0.540742586,0.547883448,0.4,0.839759454,0.4
49,0.762477183,0.4,0.4,0.556145997,0.4
50,0.735744431,0.4,0.4,0.549119447,0.4
51,0.712445559,0.4,0.4,0.535388539,0.4
52,0.736395374,0.4,0.4,0.522869032,0.4
53,0.770950973,0.4,0.4,0.516124822,0.4
54,0.79222888,0.4,0.4,1,0.4
55,0.807078894,0.4,0.4,1,0.4
56,0.808909312,0.4,0.4,1,0.4
57,0.772859746,0.4,0.4,1,0.4
58,0.753050004,0.4,0.4,1,0.4
59,0.737917798,0.4,0.4,1,0.4
60,0.726117665,0.4,0.4,1,0.4
61,0.731434235,0.4,0.4,1,0.4
62,0.738573153,0.600799232,0.4,0.994265292,0.4
63,0.740764413,0.603849688,0.4,0.957315232,0.4
64,0.740324785,0.597928362,0.4,0.926610545,0.4
65,0.737048026,0.589771861,0.601545793,0.9105077,0.4
