Source: ERA5; 22.01.2025; Unit: Deviation from mean; Konstantin Loffler <kl@wip.tu-berlin.de>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.714989231,0.520932631,0.454255079,0.66352807,0.754232928
2,0.714876887,0.521021326,0.454243788,0.663247206,0.75439111
3,0.714803856,0.521154319,0.454244312,0.662956868,0.754470172
4,0.714807205,0.521325171,0.454247614,0.662661852,0.754557824
5,0.714835636,0.521520341,0.454252053,0.662356827,0.754650202
6,0.714911117,0.521671477,0.454255611,0.662618096,0.754721195
7,0.714995063,0.521775705,0.454258207,0.662613493,0.754790214
8,0.715041033,0.521854802,0.454254199,0.662597174,0.754859036
9,0.715048452,0.521919251,0.454233148,0.662569784,0.754956372
10,0.715038221,0.521968822,0.454199446,0.662531972,0.755039879
11,0.715019478,0.522004677,0.454166405,0.662482022,0.755080129
12,0.714993976,0.522020921,0.454137609,0.662434765,0.755129388
13,0.714961469,0.522036023,0.454100899,0.662389986,0.755145214
14,0.714907691,0.522259671,0.454048626,0.662350369,0.755088725
15,0.714852169,0.522188492,0.453980708,0.662311508,0.755016874
16,0.714804788,0.52211246,0.453899491,0.662254611,0.754968149
17,0.714768669,0.522031379,0.453981044,0.662191176,0.754902895
18,0.714734681,0.521944655,0.453919554,0.662147664,0.754658646
19,0.714695194,0.521856025,0.45385624,0.662150473,0.754358512
20,0.714647958,0.521764559,0.453787272,0.662217537,0.754772094
21,0.714608356,0.521671393,0.453714207,0.66230663,0.754788672
22,0.714595136,0.521579393,0.453639885,0.662376894,0.754811668
23,0.714589856,0.521488357,0.453587529,0.66241086,0.754836339
24,0.714574949,0.521396421,0.45355805,0.662432473,0.754847061
25,0.714615451,0.521238634,0.453669654,0.662069348,0.754522989
26,0.714612674,0.521223661,0.453628106,0.661897793,0.754550305
27,0.714631465,0.521213822,0.453590467,0.661703653,0.754634679
28,0.714723946,0.521224424,0.453549822,0.661494387,0.754797098
29,0.714840096,0.521262158,0.453504098,0.661268739,0.754953534
30,0.714928251,0.521310977,0.453455759,0.661579631,0.755063384
31,0.714969273,0.521366243,0.453407399,0.661642571,0.755167734
32,0.714975441,0.521426663,0.453361961,0.661695286,0.755253503
33,0.714964776,0.521491649,0.453319608,0.661738413,0.755322581
34,0.71494191,0.521561872,0.453279238,0.661772164,0.755406447
35,0.71490672,0.521638976,0.453240899,0.661796749,0.755445948
36,0.714857708,0.521723366,0.453206866,0.661814956,0.755495619
37,0.71479194,0.521822516,0.453180292,0.661821475,0.755529784
38,0.714695543,0.522053324,0.453139972,0.66181475,0.755494458
39,0.714568668,0.521999615,0.453091264,0.661793763,0.7554591
40,0.714407284,0.521945317,0.453048748,0.661782536,0.755497803
41,0.714218871,0.52188883,0.45316866,0.661783398,0.755542695
42,0.714042167,0.521830622,0.453110572,0.661802971,0.755453952
43,0.713897492,0.521773893,0.453058328,0.6618363,0.755359014
