Source: sourcetag; timestamp; name <email>,,,,,
HOUR,DolAmroth,Gondor,Rohan,Harad,Mordor
1,0.850769973,0.690170093,1.030113757,0.75186075,0.826176599
2,0.803988343,0.664419171,1.018812015,0.720676435,0.785507706
3,0.770698989,0.637590567,0.967802892,0.680982268,0.746094764
4,0.729465584,0.612104339,0.904068185,0.647746719,0.717327503
5,0.726817567,0.602669896,0.872832661,0.622161721,0.708296617
6,0.736022578,0.592252306,0.865588867,0.619777854,0.700282452
7,0.7416969,0.561925963,0.867457659,0.636908437,0.702495319
8,0.772716525,0.560470147,0.868222974,0.641537575,0.688739664
9,0.812058489,0.575028304,0.859875703,0.644337234,0.681622607
10,0.861488137,0.616282719,0.892926625,0.68450263,0.714576372
11,0.910791688,0.66579936,0.925781768,0.722949425,0.741788646
12,0.929327805,0.724637003,0.962303304,0.77910891,0.76367808
13,0.915961625,0.750841686,1.014006549,0.78687034,0.784132141
14,0.909782919,0.751730301,0.96484842,0.739802815,0.805303888
15,0.888977073,0.750898406,0.931085578,0.717239231,0.806200996
16,0.905369558,0.762091172,0.917594679,0.731930508,0.823844118
17,1.000319875,0.801984304,0.937973411,0.780439441,0.919236595
18,1.025412987,0.861899629,1.043355483,0.881947849,0.950336337
19,1.017090648,0.887121163,1.086729256,0.902959147,0.958051465
20,0.982792526,0.86853588,1.096553763,0.918038496,0.963852763
21,0.928445133,0.83200814,1.067489597,0.907172495,0.946030219
22,0.878132814,0.812590961,1.027337266,0.876403971,0.891067406
23,0.882672271,0.811135145,1.093688282,0.817361669,0.842503963
24,0.823154941,0.749612751,1.069198207,0.748035474,0.777732771
25,0.78910901,0.693043911,0.996439904,0.656561485,0.731083158
26,0.750775815,0.657858547,0.992008198,0.613069761,0.707399509
27,0.728835104,0.645228873,0.954454377,0.588843014,0.698488237
28,0.726439279,0.647800184,0.924446917,0.57944614,0.697949972
29,0.754810888,0.665118719,0.933808675,0.588344065,0.716191166
30,0.855309431,0.702535074,0.993449837,0.627345247,0.766907668
31,0.974470187,0.790999512,1.081888195,0.728604181,0.919475824
32,1.085056413,0.889881541,1.165770259,0.847076856,1.034305639
33,1.143564975,0.954882768,1.204623335,0.9687927,1.084782913
34,1.180763307,0.981333238,1.234488412,1.050149111,1.126289106
35,1.198416752,1.009957979,1.242728895,1.083661855,1.144051843
36,1.203964978,1.035349674,1.258800506,1.099129274,1.156790776
37,1.174710697,1.047071826,1.264834034,1.057217556,1.16438629
38,1.161974997,1.036881116,1.227742962,1.017883741,1.17652715
39,1.151256833,1.027484487,1.187964389,1.025423415,1.16438629
40,1.150500257,1.023986748,1.162477626,1.049511565,1.167137421
41,1.222374999,1.046750412,1.178602631,1.093557677,1.245006389
42,1.256925314,1.105020855,1.280104735,1.184061487,1.25373824
43,1.227923225,1.106722457,1.326041423,1.178434451,1.235138202
44,1.151509026,1.071593813,1.285924687,1.158504209,1.224671943
45,1.070807561,0.996307343,1.210478884,1.087126778,1.200091185
46,1.011416327,0.945523953,1.147598482,1.016276016,1.12258106
47,1.012929479,0.921474633,1.200245023,0.916319894,1.032272195
48,0.935002127,0.844278586,1.177783922,0.824014323,0.948960771
49,0.889103169,0.781016776,1.091926278,0.742214402,0.885804373
50,0.8467349,0.738457799,1.076904749,0.683477013,0.846810081
51,0.82063302,0.715372721,1.035844719,0.655951658,0.828688501
52,0.814454314,0.71068386,0.993200665,0.645030218,0.82593737
53,0.838538657,0.730479173,0.995478811,0.64677654,0.836941894
54,0.92377958,0.765210777,1.050456893,0.683227539,0.872945826
55,1.027682716,0.843900453,1.141404771,0.782573834,1.002906862
56,1.132468524,0.940116637,1.223951984,0.90739425,1.104698709
57,1.181393787,0.995286381,1.250506629,1.01608198,1.14560683
58,1.205099842,1.028278569,1.272558375,1.093779432,1.171742575
59,1.218970406,1.064957562,1.279214834,1.098630325,1.184840351
60,1.227040553,1.10001058,1.294645717,1.101235948,1.202961931
61,1.188455165,1.102279383,1.291780236,1.072989889,1.213787033
62,1.19942552,1.086927145,1.25903188,1.023399899,1.22664558
63,1.190346605,1.061138409,1.22389859,1.010981612,1.213787033
64,1.19337291,1.048886869,1.197504128,1.020267608,1.224133678
65,1.239650157,1.060949342,1.207310836,1.062428801,1.285316439
66,1.26247354,1.104113333,1.289092735,1.18120639,1.287409691
67,1.234101931,1.099991673,1.328604337,1.192599059,1.262828934
68,1.150752449,1.059247739,1.27727485,1.173112328,1.253977469
69,1.071564137,0.984339403,1.199835668,1.107860882,1.213906648
70,0.99124096,0.941610266,1.132203195,1.034349059,1.131910983
71,0.981657661,0.911548617,1.180631605,0.932119946,1.044472863
72,0.909782919,0.824974848,1.155945753,0.837485947,0.959606452
73,0.854931142,0.761051303,1.071387363,0.756074097,0.898005041
74,0.81331945,0.709965406,1.05120441,0.698861275,0.866307227
75,0.788982914,0.690548227,1.011087674,0.663907123,0.848664105
76,0.774229678,0.698129813,0.969582693,0.653900423,0.845434516
77,0.806005879,0.720855664,0.970116634,0.659998689,0.859489207
78,0.895407971,0.769067743,1.023421702,0.69769706,0.892562586
79,0.997797954,0.865170487,1.109635307,0.801949688,1.012834856
80,1.103088147,0.96592428,1.19577772,0.922113246,1.115404197
81,1.152265602,1.032381322,1.224254551,1.031216768,1.15051102
82,1.186563724,1.068738902,1.251289742,1.098269973,1.171682768
83,1.211026356,1.103470505,1.25687832,1.105366137,1.179936161
84,1.215565813,1.137370214,1.275939998,1.110327908,1.194887959
85,1.174206313,1.133494341,1.27898346,1.067834083,1.19829697
86,1.152517794,1.092485714,1.239721029,1.027058859,1.200509836
87,1.138773326,1.056714242,1.205637822,1.033406599,1.201825594
88,1.147726144,1.04349846,1.175025229,1.044023126,1.207268049
89,1.219600886,1.054483252,1.17951033,1.080751319,1.275627673
90,1.23700214,1.08798592,1.258337757,1.190048875,1.275747288
91,1.19753408,1.076547368,1.289697867,1.197422233,1.259659152
92,1.112671446,1.033912765,1.239276079,1.1762169,1.250927302
93,1.040670608,0.960611498,1.168137396,1.107583689,1.208882843
94,0.972578747,0.914970729,1.109795489,1.032575018,1.130714839
95,0.969048058,0.885419561,1.16046645,0.938384529,1.049975125
96,0.888850977,0.818584384,1.141547155,0.841588417,0.973661143
97,0.844969555,0.747892242,1.052414675,0.760315164,0.899440414
98,0.795413812,0.706902521,1.029206058,0.700829352,0.858472485
99,0.770572893,0.685708113,0.9812048,0.669672757,0.838855724
100,0.752288967,0.688657558,0.932811986,0.652985683,0.831858283
101,0.757458905,0.701192698,0.911650141,0.650463219,0.835147678
102,0.804240535,0.70461481,0.933025562,0.671723991,0.845374709
103,0.846482708,0.711156528,0.969920856,0.732623492,0.882814013
104,0.927436365,0.765343124,1.014665076,0.818886236,0.919535631
105,0.992249729,0.835940733,1.046737107,0.886272074,0.962178162
106,1.03423971,0.900809613,1.092015268,0.959922495,1.016901746
107,1.063367894,0.953672739,1.114565358,0.963415138,1.051769341
108,1.076986267,0.990219386,1.137969753,0.965743567,1.075333376
109,1.04218376,0.994227606,1.171821586,0.936887682,1.079161036
110,1.034113614,0.973543679,1.122610063,0.888323309,1.089328259
111,1.026169563,0.950609854,1.089452353,0.859772337,1.077665856
112,1.037266014,0.949494359,1.063271467,0.868171312,1.080297373
113,1.100818418,0.978894274,1.067720971,0.916403052,1.151946393
114,1.119985016,1.037920984,1.158651052,1.04474383,1.163967639
115,1.075473114,1.045975238,1.199016959,1.077452711,1.151766972
116,1.018855993,1.012264596,1.166499978,1.077702186,1.137831895
117,0.956690646,0.950723295,1.109030174,1.019380588,1.102246614
118,0.905873942,0.911926751,1.060939926,0.955709148,1.038312722
119,0.914826761,0.904704392,1.131455678,0.881116268,0.976591696
120,0.840934482,0.841310235,1.117840194,0.793024045,0.9084713
121,0.78973949,0.757931698,1.035577749,0.737668422,0.840291097
122,0.738796691,0.700190643,1.017494961,0.677545063,0.79609358
123,0.727700239,0.679544529,0.969760674,0.645002499,0.772051087
124,0.707146585,0.68022517,0.920798323,0.627927354,0.761225985
125,0.71685598,0.68205912,0.897571908,0.628620339,0.760089648
126,0.729717776,0.667387523,0.903605436,0.636742121,0.758175818
127,0.753549927,0.649331626,0.924553705,0.668674858,0.766668439
128,0.83526016,0.674534254,0.950983763,0.701272862,0.778749493
129,0.886329056,0.728267089,0.97734263,0.734647008,0.799442783
130,0.952655572,0.788617268,1.02901028,0.806079877,0.84854449
131,1.006120293,0.840667407,1.068468488,0.843667371,0.889213383
132,1.03423971,0.898351742,1.106627442,0.874047823,0.91977486
133,0.984936158,0.904628766,1.145836478,0.866868501,0.936102224
134,0.964004216,0.871031564,1.080553343,0.802559515,0.956795514
135,0.942567889,0.847606165,1.034776838,0.788367187,0.947226363
136,0.953159957,0.849345581,1.010802906,0.802864428,0.943936967
137,1.015325304,0.893133493,1.022816569,0.837929457,1.013074085
138,1.057315285,0.959874136,1.115045905,0.952355101,1.038492143
139,1.044327393,0.984169243,1.178905198,0.99155032,1.04602785
140,1.02402593,0.963220622,1.172462315,1.003469658,1.054221436
141,0.948746595,0.91926255,1.125635726,0.972728854,1.028444534
142,0.89288605,0.898918943,1.074662199,0.92513466,0.98269203
143,0.905117366,0.900828519,1.126721405,0.855725306,0.931317649
144,0.838160369,0.829720429,1.108869992,0.77184643,0.864154168
145,0.806131976,0.763490267,1.035097202,0.690157386,0.807456947
146,0.770068508,0.72459919,1.026073606,0.645778642,0.779467179
147,0.754810888,0.716866351,0.989783445,0.62540489,0.770197064
148,0.748127798,0.728853197,0.951535502,0.621052945,0.767924391
149,0.79453114,0.768141315,0.961342211,0.633360355,0.790770739
150,0.934119455,0.846963338,1.038051673,0.688549661,0.846271817
151,1.106871028,1.00290578,1.180507019,0.857138995,1.010861219
152,1.228049321,1.151871652,1.283486359,1.055055443,1.14177917
153,1.276218008,1.201898774,1.290872537,1.173417241,1.180952883
154,1.293114877,1.212599965,1.301302176,1.227885844,1.216897007
155,1.310011746,1.226666548,1.307139926,1.230103395,1.218870645
156,1.311272707,1.24846597,1.324208227,1.232237788,1.233882251
157,1.279244313,1.242188947,1.323692084,1.168427751,1.235497045
158,1.270921974,1.236838351,1.303936283,1.143508019,1.248355592
159,1.260582099,1.218366507,1.270209036,1.156536132,1.236812804
160,1.256673122,1.208402678,1.24753436,1.185890967,1.235556852
161,1.30799421,1.220351711,1.261719381,1.23531464,1.298354408
162,1.326656423,1.26483917,1.348502523,1.326040206,1.311272762
163,1.274704855,1.259620922,1.402572905,1.304141887,1.294825783
164,1.195642639,1.22413305,1.341116345,1.273705996,1.28956275
165,1.111032197,1.149357061,1.255970621,1.20986824,1.252003831
166,1.029321964,1.087588879,1.185330283,1.122302685,1.17078566
167,1.018982089,1.036578609,1.22767177,0.996512091,1.079998337
168,0.933362879,0.941402293,1.203840223,0.89237034,0.999378237
169,0.883554943,0.87082359,1.120403108,0.808574623,0.938733741
170,0.856318199,0.829361202,1.108638618,0.761063587,0.895971596
171,0.833873104,0.817147475,1.070141502,0.737779299,0.882634592
172,0.825676862,0.828132267,1.036147285,0.732152263,0.882096327
173,0.864388345,0.851860172,1.044352172,0.739359304,0.897706005
174,0.984810062,0.904137191,1.115740027,0.787591044,0.937836633
175,1.159705268,1.045086623,1.261149844,0.944288759,1.073419545
176,1.25768189,1.177717107,1.356725208,1.135663431,1.177663487
177,1.297023854,1.20970724,1.360516186,1.266443516,1.213188961
178,1.312785859,1.205547766,1.364663124,1.309990678,1.232865529
179,1.332582937,1.22585356,1.369949136,1.312845776,1.236334346
180,1.320477717,1.259942336,1.388993017,1.308798745,1.248235978
181,1.28983638,1.253079204,1.3846503,1.229077777,1.248953664
182,1.284918635,1.24640514,1.356689612,1.201940494,1.259001273
183,1.276218008,1.229634899,1.322464021,1.23395639,1.245604461
184,1.275587528,1.221920967,1.305805075,1.252916453,1.246082919
185,1.320351621,1.225267452,1.313814183,1.286346038,1.316176952
186,1.339392123,1.269187711,1.399760818,1.358333296,1.328975692
187,1.300050159,1.264045089,1.448278219,1.335243043,1.308940281
188,1.218970406,1.227120309,1.386839456,1.288120079,1.302182068
189,1.123263513,1.156333632,1.303793899,1.216908965,1.26653698
190,1.052271443,1.096096893,1.228828642,1.133750793,1.187770903
191,1.031465597,1.050475032,1.270529401,1.015721628,1.095727629
192,0.949503172,0.95183879,1.239009109,0.921642017,1.014270229
193,0.904612982,0.880938673,1.162548818,0.833050844,0.949678458
194,0.858714024,0.847303658,1.148221412,0.77459065,0.910564552
195,0.839295234,0.831516566,1.105328186,0.750973729,0.891904707
196,0.832612144,0.839911139,1.072704417,0.741077907,0.88694071
197,0.870440955,0.871485324,1.077296306,0.747536525,0.898005041
198,0.991871441,0.926938669,1.145498316,0.791804391,0.938315091
199,1.156048483,1.070421598,1.276669717,0.943623493,1.075512797
200,1.261843059,1.202636135,1.372334071,1.137382033,1.175450621
201,1.282270618,1.250451173,1.395916446,1.261537184,1.209181879
202,1.299419679,1.241508305,1.399031099,1.30766225,1.227423074
203,1.316820932,1.258883561,1.400027788,1.305250663,1.230293819
204,1.298158719,1.285069337,1.42040652,1.302118372,1.240640464
205,1.266508613,1.270378833,1.411596501,1.226333558,1.246740798
206,1.256673122,1.266276079,1.388085318,1.214996327,1.253199975
207,1.245450574,1.247955489,1.355069992,1.246152922,1.237410876
208,1.250116128,1.235798483,1.3325377,1.263422102,1.242315066
209,1.324638887,1.239542009,1.342362206,1.293331325,1.305292042
210,1.341157468,1.271645582,1.416046006,1.355505918,1.318150589
211,1.307615921,1.256728197,1.459544365,1.334965849,1.301045732
212,1.219726982,1.213072632,1.400775305,1.299318713,1.293809061
213,1.13448606,1.133343088,1.318139102,1.228163038,1.254754962
214,1.059206725,1.066829325,1.239934606,1.137187998,1.180235197
215,1.045083969,1.020413382,1.280122533,1.021958491,1.090763632
216,0.958582086,0.92338421,1.252304229,0.927795721,1.002129368
217,0.901334485,0.857362021,1.17340561,0.841865611,0.938434705
218,0.866658074,0.823953886,1.154824478,0.784403314,0.902610195
219,0.848500245,0.806351751,1.116362958,0.749698637,0.882574784
220,0.843834691,0.813271602,1.073558722,0.745762484,0.883412085
221,0.871828012,0.828245707,1.07357652,0.752581454,0.89908157
222,0.999311107,0.877365307,1.141671741,0.798124412,0.935025695
223,1.16664055,1.019297887,1.276723111,0.950636499,1.072163594
224,1.270039302,1.160133878,1.374701207,1.142925912,1.182208834
225,1.299545775,1.204470085,1.37215609,1.274593017,1.213787033
226,1.312281475,1.205434326,1.371906918,1.316227541,1.225628858
227,1.333717801,1.218574481,1.371212795,1.318001582,1.226765195
228,1.321864774,1.235231282,1.38249674,1.313760516,1.239205091
229,1.287188363,1.227517349,1.371301785,1.235924467,1.242733716
230,1.28441425,1.221996593,1.341454507,1.218821603,1.25864243
231,1.278613833,1.214301567,1.310895308,1.252971892,1.24584369
232,1.298663103,1.212410898,1.286280648,1.268134399,1.237829526
233,1.327917384,1.220654218,1.291406477,1.300122575,1.30726568
234,1.340148699,1.267164694,1.365997976,1.357085923,1.325267646
235,1.309633458,1.261700659,1.417825808,1.336545855,1.302899755
236,1.220735751,1.232281837,1.359021152,1.297905024,1.295065012
237,1.138016749,1.162856443,1.276295959,1.224365481,1.25822378
238,1.046849313,1.101163888,1.202772341,1.139183794,1.184302086
239,1.035626766,1.059682594,1.246306296,1.019630062,1.09506975
240,0.97056121,0.969138418,1.219449085,0.926298874,1.009724882
241,0.919870602,0.907748371,1.137951955,0.849211249,0.948841157
242,0.881789599,0.868214466,1.125760312,0.790224386,0.911700889
243,0.870062667,0.845507522,1.084486706,0.763780087,0.894117573
244,0.853165798,0.845526429,1.04994075,0.758735158,0.889990877
245,0.895407971,0.859177064,1.054692821,0.765249215,0.901832701
246,0.999185011,0.904118285,1.127148558,0.807188653,0.936760104
247,1.164875206,1.037939891,1.26289405,0.958037577,1.070070342
248,1.286936171,1.174937823,1.370198308,1.139571865,1.172520068
249,1.315559972,1.225777933,1.366389532,1.276311619,1.204576725
250,1.331952457,1.22018155,1.360373802,1.329144777,1.222160041
251,1.338887739,1.234872055,1.343803846,1.330807941,1.223774835
252,1.321486486,1.250678054,1.338482238,1.317086842,1.231609578
253,1.267895669,1.241602839,1.324848955,1.233152528,1.233583215
254,1.242045981,1.215379249,1.287846873,1.206320158,1.241417958
255,1.233723643,1.188437205,1.247178399,1.238280615,1.231848806
256,1.234984603,1.177811641,1.222243374,1.236783768,1.230533048
257,1.306102769,1.19327732,1.223524832,1.274620736,1.297098457
258,1.338005067,1.252606537,1.32588124,1.3444736,1.323353815
259,1.299419679,1.243398975,1.375413128,1.329200216,1.301883032
260,1.221240135,1.202352534,1.326415181,1.294301503,1.289383328
261,1.13385558,1.124664914,1.258800506,1.214774572,1.246082919
262,1.052649731,1.067415433,1.203733434,1.126488313,1.16970913
263,1.053028019,1.037240343,1.263872941,1.020932874,1.08675655
264,0.987079791,0.972673971,1.243387421,0.932979247,1.015466373
265,0.947863923,0.912361605,1.154486315,0.85009827,0.949080386
266,0.898686468,0.866059102,1.137702783,0.797292831,0.908411493
267,0.87346726,0.832764408,1.09226444,0.767383608,0.886522059
268,0.843960787,0.821647269,1.044476758,0.755741464,0.88544553
269,0.853544086,0.816807155,1.034598858,0.753413035,0.885624951
270,0.885698576,0.802400251,1.059071134,0.7713752,0.882993435
271,0.941306929,0.796784962,1.100380337,0.835601028,0.928745939
272,1.028691484,0.860084586,1.149627456,0.947254734,0.968996182
273,1.09312656,0.930644382,1.192841047,1.016580929,1.018815576
274,1.127424682,0.980955104,1.236802154,1.080723599,1.080177758
275,1.148734913,1.016329536,1.233509521,1.09070258,1.107390032
276,1.147473952,1.035519834,1.242782289,1.062123888,1.127006793
277,1.110275621,1.027711368,1.262466898,1.026670788,1.123418361
278,1.089217582,0.99271507,1.20485471,0.94697754,1.128801008
279,1.083038877,0.967682602,1.16423963,0.947088417,1.108167526
280,1.085056413,0.965867559,1.136866276,0.949527724,1.100871048
281,1.149239297,0.986154446,1.140550466,0.99016435,1.174732935
282,1.195264351,1.06943845,1.230857616,1.104285081,1.197878319
283,1.159074788,1.086397757,1.283005812,1.141235029,1.187890518
284,1.097666017,1.054974826,1.253051746,1.137382033,1.179338089
285,1.032474365,0.982392013,1.197272753,1.071354445,1.145547023
286,0.981531565,0.946507101,1.154183749,0.998175254,1.079519879
287,0.990232192,0.95006156,1.217687081,0.921198506,1.021207864
288,0.930336574,0.903475457,1.208948254,0.851622836,0.949798072
289,0.884437616,0.851311878,1.135869587,0.783959804,0.888734926
290,0.837529889,0.805255162,1.118391932,0.731015768,0.841248012
291,0.820128636,0.782170084,1.068877843,0.697807938,0.819956651
292,0.792639699,0.765570004,1.018812015,0.675771022,0.809849235
293,0.791757027,0.757496844,0.995977156,0.674440492,0.813437666
294,0.808906088,0.737285584,1.005997441,0.685694564,0.814873039
295,0.824415901,0.710532607,1.023030145,0.718015374,0.836583051
296,0.900073524,0.735470541,1.052752837,0.756462168,0.848365069
297,0.964130312,0.778653439,1.084771474,0.797071076,0.879943268
298,1.027934908,0.841915249,1.149253698,0.869917634,0.938853355
299,1.075977498,0.898068141,1.192769855,0.92194693,0.9733023
300,1.085939085,0.948530118,1.224468127,0.952521418,0.985562775
301,1.037013822,0.955487782,1.256344379,0.947365611,0.994892698
302,1.015955784,0.922419968,1.191114639,0.886382952,1.007093366
303,0.99603261,0.894003201,1.145587306,0.869307807,0.997165371
304,0.995906514,0.890165142,1.117715607,0.87238466,0.983050873
305,1.064502759,0.919243643,1.127112962,0.904345117,1.056494109
306,1.108888564,1.003283914,1.216636998,1.004467556,1.102784878
307,1.111284389,1.03508498,1.289733463,1.034459936,1.110320585
308,1.079886476,1.01063862,1.289324109,1.046379274,1.112234415
309,1.021630106,0.965168012,1.238154804,1.022374282,1.082390625
310,0.986701503,0.945958807,1.194870021,0.972146746,1.037475421
311,1.000193779,0.960838378,1.254546779,0.901767214,0.992679831
312,0.935506511,0.910660002,1.235449505,0.816640965,0.923722135
313,0.913313608,0.857532182,1.168493356,0.733399635,0.872826212
314,0.876493565,0.823121992,1.164720176,0.690573177,0.848365069
315,0.860857656,0.805047189,1.133004106,0.667926435,0.844178565
316,0.852535318,0.806597538,1.096909723,0.663103261,0.84172647
317,0.899190852,0.832877848,1.111949049,0.676131375,0.858472485
318,1.02944806,0.900809613,1.193481775,0.729269446,0.911820503
319,1.193877295,1.063085799,1.335616757,0.902737392,1.060082541
320,1.315181684,1.204129764,1.436923082,1.108941939,1.180773461
321,1.360071874,1.255707235,1.446800983,1.243325544,1.239145284
322,1.366250579,1.265916852,1.45347524,1.311127173,1.268271388
323,1.379364568,1.287375954,1.455379628,1.32493143,1.267792931
324,1.366250579,1.302293339,1.468176404,1.310461908,1.274072686
325,1.332330745,1.296621329,1.461644531,1.23988834,1.273594229
326,1.320477717,1.288434729,1.445323747,1.225945486,1.286273354
327,1.307363729,1.271380888,1.416793523,1.26214701,1.266596787
328,1.304967905,1.261095644,1.400597325,1.278279696,1.258702237
329,1.364611331,1.252171683,1.411703289,1.294135187,1.320662492
330,1.397522397,1.303635714,1.494570867,1.356282061,1.340398866
331,1.366250579,1.303522274,1.554265423,1.335963747,1.32688244
332,1.279370409,1.269244431,1.492007952,1.292139391,1.31707406
333,1.187446397,1.200216078,1.412966948,1.226000925,1.28124955
334,1.106997124,1.145140867,1.338037288,1.148746984,1.202363859
335,1.093504848,1.106590111,1.384258743,1.037176437,1.105177166
336,1.017216744,1.027389954,1.355728519,0.9387726,1.031793737
337,0.975100667,0.977003604,1.270048854,0.852676173,0.969833483
338,0.936893568,0.938868795,1.265421369,0.804721627,0.932453985
339,0.916213817,0.920604925,1.222172182,0.776614165,0.915707971
340,0.905747846,0.910036081,1.186077799,0.771624675,0.917920837
341,0.93714576,0.927713843,1.190189142,0.781271023,0.928387096
342,1.053910692,0.974659174,1.260669298,0.820161328,0.965108714
343,1.202956209,1.11214868,1.390826213,0.972257624,1.090404789
344,1.317451413,1.241565026,1.47881962,1.164907388,1.189864155
345,1.33535705,1.274387053,1.480172269,1.292721498,1.232985143
346,1.351749535,1.272477476,1.490726494,1.347134662,1.257027636
347,1.359063105,1.289209904,1.49444628,1.359552949,1.258821852
348,1.348471038,1.304713396,1.503113916,1.353648719,1.269108689
349,1.310011746,1.296980557,1.49193676,1.286429196,1.27144117
350,1.304715713,1.285939045,1.462943786,1.266609832,1.279574948
351,1.290971244,1.269792725,1.427650314,1.292693779,1.263068162
352,1.289584188,1.258959187,1.405011234,1.305472418,1.252721518
353,1.353767072,1.257881506,1.408624232,1.327509333,1.310495268
354,1.393487324,1.310347592,1.499910272,1.381118635,1.338664458
355,1.361332834,1.309874924,1.561455823,1.360135056,1.325626489
356,1.271552454,1.277147431,1.502971532,1.324321603,1.314442543
357,1.187320301,1.209348013,1.420869269,1.250892938,1.279455334
358,1.098548689,1.148033592,1.345868416,1.166764587,1.200988293
359,1.073077289,1.105228828,1.395151131,1.056801765,1.109662706
360,1.007129061,1.034347619,1.359288122,0.960781796,1.025214946
361,0.976992108,0.977041418,1.278093559,0.874962563,0.960443753
362,0.95051194,0.939776317,1.277061274,0.823626252,0.924320207
363,0.922266427,0.91548121,1.240771112,0.797847218,0.90805265
364,0.912809224,0.912645205,1.205281862,0.791527197,0.909188986
365,0.961104007,0.928848245,1.212383272,0.793827907,0.919834667
366,1.056558708,0.979820702,1.285835697,0.837541386,0.962716426
367,1.217078966,1.113150735,1.398568351,0.98700434,1.093873606
368,1.300932831,1.242548174,1.474067548,1.184699033,1.20212463
369,1.325269367,1.276618043,1.498913583,1.321993175,1.242793523
370,1.34267062,1.283764775,1.512849432,1.378790206,1.267015437
371,1.351623439,1.303181953,1.509396617,1.38267092,1.274311915
372,1.340905276,1.315981788,1.51772609,1.381950216,1.287170462
373,1.330817593,1.304467609,1.4996611,1.315922628,1.293569832
374,1.32072991,1.297604478,1.464990559,1.284073048,1.301165346
375,1.313794627,1.276504603,1.432918528,1.313760516,1.281129935
