Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
1,0.850769973,0.875779994,1.093361053,1.144457193,0.79776481,0.690170093,0.969743097,0.851302835,1.048142538,1.030113757,0.934656101,0.950761439,0.857150016,0.995147733,0.75186075,0.630454797,0.843919934,1.020619396,0.826176599,0.884134015,1.041582642,0.931226648,0.826236949,0.920166977,0.867019045,0.958727104,0.873145213,0.809193222,1.224341305,0.934656101
2,0.803988343,0.821874908,1.057345599,1.118523129,0.782717901,0.664419171,0.917792574,0.816815542,1.016352217,1.018812015,0.907876205,0.89640291,0.816750173,0.951408701,0.720676435,0.614251519,0.81486166,1.007699298,0.785507706,0.847384296,0.999884732,0.916917464,0.796067301,0.876124797,0.884883015,0.93221852,0.832553073,0.769807712,1.192048545,0.907876205
3,0.770698989,0.772233501,1.003809113,1.080275049,0.776587679,0.637590567,0.857046195,0.760213716,0.994255337,0.967802892,0.839417737,0.834352136,0.753905972,0.876136879,0.680982268,0.590683115,0.772657976,0.994984281,0.746094764,0.812953734,0.961993271,0.900160656,0.761097936,0.836172248,0.867563853,0.896873742,0.795274577,0.735196202,1.116517908,0.839417737
4,0.729465584,0.732743711,0.960249881,1.016466056,0.759450922,0.612104339,0.816365362,0.70787836,0.982998437,0.904068185,0.791138488,0.786660219,0.714179459,0.800186933,0.647746719,0.574479838,0.731761145,0.98363647,0.717327503,0.76032671,0.934829072,0.885976991,0.74738446,0.808803179,0.809240715,0.870365159,0.773735891,0.716100197,1.047347168,0.791138488
5,0.726817567,0.713557155,0.922530993,0.947432936,0.74858371,0.602669896,0.786129608,0.674990993,0.991232651,0.872832661,0.76869618,0.802557525,0.698468408,0.753396341,0.622161721,0.562695636,0.706315937,0.983089587,0.708296617,0.713943569,0.925312952,0.876060977,0.736413679,0.803769787,0.753584269,0.86815611,0.766280191,0.7292287,0.989388772,0.76869618
6,0.736022578,0.712948058,0.914257173,0.924484088,0.732840185,0.592252306,0.782281421,0.662938217,1.010306844,0.865588867,0.775296859,0.823070177,0.701386175,0.718811991,0.619777854,0.564168661,0.701472891,0.984388433,0.700282452,0.687184065,0.921333483,0.892943304,0.742584743,0.805028135,0.706128618,0.87588778,0.777877946,0.732809201,0.977219201,0.775296859
7,0.7416969,0.717516286,0.897952879,0.896497687,0.722530266,0.561925963,0.829284276,0.663080432,1.009264538,0.867457659,0.783594855,0.838967483,0.717546112,0.700163567,0.636908437,0.549438409,0.71438768,1.007562578,0.702495319,0.669701189,0.905415609,0.914846398,0.767954674,0.814780332,0.69009979,0.888037548,0.788647289,0.745937705,0.97046525,0.783594855
8,0.772716525,0.695690309,0.91036361,0.857130151,0.715006812,0.560470147,0.870239979,0.669871229,1.02625412,0.868222974,0.79396735,0.82409581,0.723606089,0.705927625,0.641537575,0.568587737,0.73821854,1.042904857,0.688739664,0.664349288,0.889151694,0.936310174,0.782353824,0.792130068,0.704694912,0.907918985,0.787818878,0.747131205,0.950307784,0.79396735
9,0.812058489,0.703405538,0.948569194,0.844442983,0.716121398,0.575028304,0.857870807,0.660591659,1.023335664,0.859875703,0.837531829,0.80460879,0.754130415,0.706944812,0.644337234,0.580371939,0.765893087,1.067036045,0.681622607,0.620463701,0.894515325,0.953066982,0.681559773,0.810061527,0.710716475,0.913441607,0.811842797,0.793677718,0.993733466,0.837531829
10,0.861488137,0.724114837,1.009892805,0.858249607,0.768785578,0.616282719,0.903774179,0.66706247,1.033237568,0.892926625,0.884868125,0.871274911,0.794305815,0.696094819,0.68450263,0.584791015,0.797334447,1.084399564,0.714576372,0.637589784,0.896245529,0.961351246,0.721328855,0.855991229,0.728293704,0.950995434,0.859890637,0.831869729,1.066586246,0.884868125
11,0.910791688,0.765228886,1.018653321,0.868511287,0.816573446,0.66579936,0.975515377,0.724162051,1.052624452,0.925781768,0.943331279,0.931274419,0.836276764,0.767297894,0.722949425,0.611305469,0.854836006,1.116323827,0.741788646,0.695747106,0.891227938,0.991601364,0.740527721,0.88524782,0.798143835,0.986340212,0.896340721,0.866481238,1.106820623,0.943331279
12,0.929327805,0.797917092,1.030820704,0.877840087,0.826883365,0.724637003,0.981562528,0.785172561,1.061067128,0.962303304,0.951252093,0.965120295,0.866576647,0.857488455,0.77910891,0.643712024,0.902113357,1.146265642,0.76367808,0.767997767,0.89192002,1.015638283,0.748755807,0.899404235,0.872553148,1.007326174,0.917050997,0.885577243,1.140482547,0.951252093
13,0.915961625,0.825834039,1.026197098,0.948365816,0.841094334,0.750841686,0.992832218,0.817882159,1.064402506,1.014006549,0.899389618,0.951274255,0.877798825,0.94971339,0.78687034,0.662861352,0.921869908,1.152281349,0.784132141,0.832934164,0.88274994,1.031830255,0.7384707,0.888708277,0.92866838,1.02168499,0.920364641,0.87364224,1.150024168,0.899389618
14,0.909782919,0.812738453,1.00307907,0.960679832,0.860042294,0.751730301,0.990083514,0.842592127,1.08368516,0.96484842,0.813203614,0.90614642,0.868147752,1.014474281,0.739802815,0.652550175,0.919717443,1.157613453,0.805303888,0.843281172,0.882057858,1.036097906,0.714472116,0.892168734,0.965170522,1.033834757,0.917050997,0.917801752,1.153987201,0.813203614
15,0.888977073,0.796191317,0.988721558,0.974859608,0.869098303,0.750898406,0.99942911,0.840138907,1.11151472,0.931085578,0.875061402,0.874351808,0.87555439,1.020577402,0.717239231,0.637819923,0.909185741,1.168277661,0.806200996,0.790475751,0.888805653,1.056055453,0.711729421,0.893741669,0.970589928,1.071388584,0.925335107,0.972702767,1.136609683,0.875061402
16,0.905369558,0.791217025,0.999915551,0.985681016,0.901699939,0.762091172,1.024717196,0.794878779,1.149246184,0.917594679,0.947480277,0.869223645,0.89440765,0.996843044,0.731930508,0.628981771,0.898423417,1.199928484,0.823844118,0.771387305,0.932406787,1.099422322,0.732299636,0.902235518,0.979650947,1.136555518,1.011489853,1.066989293,1.14041523,0.947480277
17,1.000319875,0.802992901,1.077786803,0.99855476,0.939456534,0.801984304,1.129167983,0.779021735,1.157271937,0.937973411,1.032346146,0.959992132,0.970269579,0.990061799,0.780439441,0.646658074,0.921793034,1.224743276,0.919236595,0.766927387,1.057154475,1.136889792,0.800181344,0.953198612,1.007120744,1.14980981,1.083561611,1.087278799,1.233446788,1.032346146
18,1.025412987,0.88197248,1.216738319,1.007696984,0.95826517,0.861899629,1.227296748,0.799109694,1.155708479,1.043355483,1.142106003,1.077427067,0.999671687,1.079913298,0.881947849,0.712944209,1.043484167,1.237595014,0.950336337,0.781199123,1.107330383,1.150759659,0.883147875,0.983713551,1.1252294,1.136555518,1.079419556,1.068182794,1.289965774,1.142106003
19,1.017090648,0.909889427,1.272951629,1.02747404,0.953806827,0.887121163,1.218500893,0.898909521,1.15226887,1.086729256,1.157193268,1.096401271,1.000120574,1.17485073,0.902959147,0.735039588,1.068545007,1.221461981,0.958051465,0.9389018,1.105081119,1.142036077,0.905775111,0.989376117,1.186104534,1.122196702,1.070307035,1.050280289,1.296944745,1.157193268
20,0.982792526,0.902174198,1.252510426,1.011428504,0.945726079,0.86853588,1.147309435,0.948151688,1.134028522,1.096553763,1.152855679,1.112811392,1.007302769,1.159253866,0.918038496,0.729147487,1.056629577,1.205055507,0.963852763,0.998307899,1.084318674,1.120132984,0.920174261,0.99535327,1.15614009,1.106733362,1.04214106,1.045506287,1.294156541,1.152855679
21,0.928445133,0.877201221,1.229392398,1.00228628,0.924966918,0.83200814,1.067596992,0.981430148,1.098068978,1.067489597,1.125132829,1.10614478,0.982389532,1.132128886,0.907172495,0.702633033,1.024650101,1.187760349,0.946030219,1.011330858,1.057327496,1.08636833,0.898232699,0.987174008,1.10931527,1.080224778,0.998235276,0.98344427,1.272947701,1.125132829
22,0.878132814,0.860755601,1.178776083,1.026168008,0.882612657,0.812590961,1.022518232,0.997038315,1.128400071,1.027337266,1.068178401,1.113837025,0.937949704,1.082286733,0.876403971,0.676118579,0.975374032,1.160484586,0.891067406,1.024532213,1.017186769,1.048461543,0.836522056,0.951625677,1.051250198,1.022789514,0.923678285,0.883190243,1.253778197,1.068178401
23,0.882672271,0.910701556,1.156631446,1.04240012,0.862550112,0.811135145,0.940057084,0.811731333,1.103384736,1.093688282,1.02631124,1.074350169,0.882736584,1.032105519,0.817361669,0.704106058,0.919409948,1.142710906,0.842503963,1.003481403,0.958186822,1.009613363,0.765897653,0.929919174,0.98874064,0.975294969,0.859890637,0.810386723,1.282382819,1.02631124
24,0.823154941,0.916284946,1.098228007,1.03120556,0.822007052,0.749612751,0.877386612,0.892403156,1.054709064,1.069198207,0.936542009,0.954863969,0.833358997,0.972430561,0.748035474,0.670226478,0.853067909,1.100874398,0.777732771,0.965839701,0.918565157,0.967062368,0.689787859,0.887449929,0.914273978,0.912337083,0.801901865,0.768614211,1.226337198,0.936542009
25,0.78910901,0.850807016,1.012082934,1.056393321,0.803337739,0.693043911,0.996680405,0.797189783,1.009889922,0.996439904,0.852807686,0.845634095,0.769168135,0.960902444,0.656561485,0.634873872,0.783958416,1.072231429,0.731083158,0.87467899,0.890362836,0.94440616,0.63424828,0.857249577,0.829714029,0.870365159,0.764623369,0.737583203,1.171427806,0.852807686
26,0.750775815,0.802079255,0.935185072,1.034377352,0.806681497,0.657858547,0.977989212,0.719504489,0.988209965,0.992008198,0.854316412,0.803583158,0.737297147,0.869016572,0.613069761,0.595102191,0.734374853,1.05254366,0.707399509,0.809029007,0.871503616,0.923318941,0.718586159,0.823588768,0.824552689,0.846065624,0.743084683,0.716100197,1.083858192,0.854316412
27,0.728835104,0.766548596,0.915717259,0.999860792,0.799018719,0.645228873,0.961771853,0.672679988,0.977265756,0.954454377,0.81244925,0.786660219,0.704752828,0.783911945,0.588843014,0.577425888,0.712158341,1.037504392,0.698488237,0.753012445,0.863890719,0.914846398,0.710358074,0.80974694,0.811792711,0.842752051,0.735628984,0.714906696,1.001095273,0.81244925
28,0.726439279,0.741068037,0.90208979,0.977844824,0.782021285,0.647800184,0.994756312,0.6491433,0.983102667,0.924446917,0.789252579,0.766147567,0.692183988,0.727966672,0.57944614,0.577425888,0.705777821,1.042084533,0.697949972,0.717868296,0.867005086,0.919867164,0.698701619,0.805028135,0.786731539,0.848274673,0.736457395,0.711326195,0.95613056,0.789252579
29,0.754810888,0.7452302,0.914743868,0.974486456,0.79344579,0.665118719,0.960672371,0.647685589,1.022710281,0.933808675,0.795287486,0.779480791,0.716872782,0.707961999,0.588344065,0.587737065,0.712081468,1.055004631,0.716191166,0.707878081,0.87790537,0.929092822,0.710358074,0.821386659,0.760552077,0.876992305,0.779534768,0.803225721,0.936695065,0.795287486
30,0.855309431,0.779441149,0.932021552,1.00788356,0.856141243,0.702535074,0.969193356,0.673711052,1.119853165,0.993449837,0.853939231,0.831275238,0.788245839,0.695755757,0.627345247,0.631927822,0.747135894,1.08802266,0.766907668,0.708770065,0.898667814,0.966120975,0.689787859,0.865743426,0.73678124,0.979713066,0.908766887,0.976283268,0.948522702,0.853939231
